state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,grid_formula_minus_verified_margin,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid,global_alias_margin_grid_verified,global_alias_margin_grid_formula,global_alias_trigger_grid
32967,0.07960143033415079,0.025,0.0,1.0654845468699932,0.02522172891024326,0.0026866835878662887,0.0026866833639800883,-2.2388620037755436e-10,gamma_high,0.07984268608704409,1.064,0.03162277660168379,0.004593859431844088,0.004593859240855336,gamma_high
32968,0.07250884785316886,0.025,0.0,0.6754309609532356,0.7176799148954901,0.005088440202218766,0.005088440084098136,-1.1812062959692948e-10,m_high,0.06923741572214888,0.728,0.6025595860743578,0.016460539549456827,0.016460539543681214,m_high
32969,0.1511606452520937,0.025,0.0,0.816905464977026,0.02074850049158753,0.004156077843217472,0.00415607806471704,2.2149956781930547e-10,gamma_high,0.1514783881269703,0.8160000000000001,0.025118864315095794,0.0055706382250060365,0.0055706385635445645,gamma_high
32970,0.18050069781020284,0.025,0.0,0.5671751283109188,0.18679170754419483,0.006446153678067024,0.006446153436195692,-2.418713319907173e-10,gamma_low,0.17648752793457878,0.5840000000000001,0.1445439770745927,0.016552338209326285,0.01655233829634713,gamma_low
32971,0.09949134597554804,0.025,0.0,1.1256509855389596,0.06453782299090573,0.0031462182764033274,0.003146219116350348,8.399470207906545e-10,gamma_high,0.10018932948041163,1.12,0.07943282347242814,0.007940901056361865,0.007940901078303335,gamma_low
32972,0.11839878102764488,0.025,0.0,0.4521182052791119,0.01039840415367491,0.0013864992068976473,0.0013865022435580225,3.036660375195163e-09,gamma_high,0.11923298988356106,0.448,0.022908676527677724,0.0013864992068976473,0.0013865022435580225,gamma_high
32973,0.19909452674910427,0.025,0.0,1.043434779345989,0.3600732041222556,0.012446519309988361,0.012446519553098388,2.4311002690124983e-10,a1_low,0.19376225827632393,1.072,0.3019951720402016,0.044656415929166804,0.04465641590426406,gamma_low
32974,0.1322720929514617,0.025,0.0,0.7935571953654289,0.040041482174093194,0.0036216056970516434,0.003621606325634549,6.285829057782466e-10,gamma_low,0.131145303062943,0.8,0.02187761623949553,0.005963523410493068,0.005963522892213033,gamma_low
32975,0.053897280571982266,0.025,0.0,0.9022901646792888,0.11550393232285112,0.0023048043155512454,0.0023048045592029593,2.436517138222627e-10,gamma_low,0.05327885774944093,0.912,0.09120108393559097,0.00646935230918568,0.0064693524566894565,gamma_low
32976,0.058201644895598294,0.025,0.0,0.7673233672976494,0.018008178312015264,0.0017454680323100089,0.001745467571392196,-4.6091781281433486e-10,gamma_low,0.05810161543243812,0.768,0.014454397707459272,0.002021298277048147,0.0020212982694540853,gamma_high
32977,0.12921340013854207,0.025,0.0,0.9273503296077251,0.6228831565909562,0.009853669233425226,0.009853669202016569,-3.140865692530248e-11,m_high,0.12539302865464225,0.9680000000000001,0.5495408738576245,0.023343194594619286,0.02334319472123487,m_low
32978,0.19365884242579345,0.025,0.0,0.477619182318449,0.07435844361293634,0.003961099904201527,0.003961099091272612,-8.129289151559416e-10,gamma_high,0.1955309459155915,0.47200000000000003,0.09120108393559097,0.008534986889698786,0.008534986529714567,gamma_low
32979,0.12493139943107964,0.025,0.0,1.0175442025065422,0.2152200613108754,0.009332451676141655,0.009332451666170966,-9.97068920483013e-12,gamma_low,0.122039653830483,1.04,0.16595869074375605,0.021253016800199642,0.021253016881243907,gamma_low
32980,0.10577160427346827,0.025,0.0,0.5906971596181393,0.41487557682381776,0.006538582981677405,0.006538582847051524,-1.346258816231627e-10,m_low,0.11036197518793145,0.552,0.5011872336272722,0.020280733822341315,0.02028073389209437,gamma_low
32981,0.1753207710571587,0.025,0.0,1.1009552910923959,0.01198076583474258,0.004949290716532238,0.004949291387298554,6.707663157551336e-10,gamma_high,0.17648214665543452,1.096,0.026302679918953815,0.004949290716532238,0.004949291387298554,gamma_high
32982,0.1484286991413683,0.025,0.0,0.6510784223675727,0.10024683218661802,0.005746515004336303,0.005746515555311561,5.509752584731409e-10,gamma_low,0.14592093487063867,0.664,0.06606934480075961,0.009534922640898218,0.009534922904239669,gamma_low
32983,0.07648535682819785,0.025,0.0,0.8408684037625789,0.03475292030529392,0.002714041636735786,0.0027140418340103716,1.9727458555607313e-10,gamma_low,0.07578981692968298,0.8480000000000001,0.01513561248436208,0.002714041636735786,0.0027140418340103716,gamma_low
32984,0.0839040780439973,0.025,0.0,0.40552688091993333,0.16507865663319218,0.0033773244843804747,0.003377324167882222,-3.164982525193094e-10,gamma_low,0.08122772175162414,0.42400000000000004,0.1148153621496883,0.006531227491200599,0.006531227678268832,gamma_low
32985,0.15492726843804122,0.025,0.0,1.0892507426440714,0.054989268002178085,0.005482044606556597,0.0054820445799806,-2.6575996611710728e-11,gamma_low,0.15358570974335523,1.096,0.03630780547701014,0.012424407782178558,0.01242440782376081,gamma_low
32986,0.1631184194702655,0.025,0.0,0.7393731348216533,0.46066117202560725,0.010047067228277624,0.010047067585490798,3.5721317397097163e-10,a1_high,0.1697044177375734,0.696,0.5495408738576245,0.03327728664757227,0.033277286568949196,gamma_low
32987,0.09438869659788907,0.025,0.0,0.955698911845684,0.01381361342033518,0.0020075650165708005,0.0020075639756720943,-1.0408987062039687e-09,gamma_high,0.09483177538012647,0.9520000000000001,0.023988329190194897,0.006005857919295939,0.006005857742337373,gamma_high
32988,0.11272575431503357,0.025,0.0,0.6290288470685482,0.08127585690198012,0.004115190068048112,0.004115190446476564,3.784284526367476e-10,gamma_low,0.11111567478066317,0.64,0.05248074602497726,0.007104599521804655,0.0071045991364663335,gamma_low
32989,0.18228177861310546,0.025,0.0,0.8625200107693671,0.24317378602671239,0.014809753524420948,0.014809753489680673,-3.474027489291931e-11,gamma_low,0.17775845950629726,0.888,0.19054607179632474,0.028930752916013085,0.028930752831533343,gamma_low
32990,0.13664457015693188,0.025,0.0,0.5127896502614021,0.02906025567247132,0.0036285246049138865,0.0036285231565625626,-1.4483513238565393e-09,gamma_high,0.13855934303658382,0.504,0.054954087385762455,0.005410969777606016,0.00541096990708638,gamma_low
32991,0.06468521505594255,0.025,0.0,1.1792489431798456,0.9701860513030883,0.032839452649479815,0.03283945263949039,-9.989425953094155e-12,m_low,0.06510022645877885,1.1440000000000001,1.0,0.2593533107734093,0.2593533107742686,m_low
32992,0.06745510618202388,0.025,0.0,0.6177288480103016,0.20074838626544692,0.0026119410409353137,0.0026119410306353467,-1.0299967042465275e-11,gamma_low,0.06625294142267599,0.632,0.16595869074375605,0.009110465222197967,0.009110465256809258,gamma_low
