state_id,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
45174,0.010079349200731128,0.010079349470728888,a1_high,0.15954574175908545,0.696,0.9120108393559097,0.003973868442788412,-0.0061054807579427155,continuous_direct_verified,m_low,0.1534701376925887,0.7469462116062641,0.7974229994431156,0.0035165788378299367,0.030000000000000027,1.0868827851617862
36966,0.014256577481608464,0.01425657754091457,a1_high,0.16502319339150998,0.5760000000000001,0.6025595860743578,0.005616888440029462,-0.008639689041579003,continuous_direct_verified,m_low,0.16104005926196557,0.5980685409903526,0.5480861538913706,0.00487742765714505,0.030000000000000027,1.138228267949497
44328,0.009669351352020135,0.00966935117979383,a1_low,0.07013221597525945,0.488,0.4365158322401661,0.002489167590838773,-0.0071801837611813624,continuous_direct_verified,m_high,0.07363995463964797,0.44878358982421296,0.5269900995722908,0.0030745776704951544,0.030186198576463596,1.1474774280157598
24233,0.012711147598042523,0.012711147667576611,gamma_low,0.1432537555835707,0.888,0.2187761623949553,0.007292333176938584,-0.005418814421103938,continuous_direct_verified,gamma_low,0.14340200366759154,0.8890429307195242,0.22061986843408954,0.0030607638104870882,0.020421241638332255,1.1999999999999997
43676,0.010250352072675741,0.010250352000649115,a1_low,0.1079282498065644,0.8400000000000001,0.5248074602497725,0.0035910037714372138,-0.006659348301238528,continuous_direct_verified,m_low,0.1166269428053085,0.7444211465120315,0.7161728630126283,0.0027954745062772346,0.030000000000000027,1.0955934951396362
20685,0.011627096853341914,0.011627096729850676,gamma_high,0.19932446846358037,0.936,0.013803842646028852,0.0007210235222203156,-0.0109060733311216,continuous_direct_verified,gamma_high,0.19929709390026995,0.9344169027015907,0.013803471497195024,0.00021431466785737374,0.0007976197793738704,1.2034543320774351
32989,0.014809753524420948,0.014809753489680673,gamma_low,0.17775845950629726,0.888,0.19054607179632474,0.008045388862976236,-0.006764364661444712,continuous_direct_verified,gamma_low,0.1787698747925176,0.8809546318398387,0.202644821688927,0.0035119038205878583,0.018434621070471557,1.2
24502,0.00960660192832532,0.009606601696042221,a1_low,0.14283342739958832,0.56,0.758577575029184,0.003179906924361053,-0.006426695003964268,continuous_direct_verified,m_high,0.14778013890212877,0.5257867324352264,0.8491995079898439,0.004357885293899966,0.02999999999999997,1.0972495638323363
41522,0.014510121217750757,0.014510120677836622,a1_low,0.19400178081660852,0.656,0.2187761623949553,0.007193170020330952,-0.007316951197419806,continuous_direct_verified,gamma_low,0.1950944008827942,0.6529027277180777,0.22964679702747423,0.0046260475590092776,0.020027103419028247,1.2
9485,0.009909215098401368,0.009909215345313091,gamma_low,0.19389412289990834,1.2,0.06309573444801933,0.005180670836027773,-0.0047285442623735945,continuous_direct_verified,gamma_low,0.19514584240072763,1.1951188292628825,0.07672906282286342,0.0014250183334817978,0.00555205832186334,1.2000000000000004
