selected_rank,state_id,split,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,global_alias_margin_grid_verified,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
105,11444,train,0.101274545583874,0.025,0.0,0.5964930571615696,0.5053409128642466,0.01030363348543604,0.010303633515090022,0.018557705716611066,a1_high,0.10723848646969379,0.544,0.6309573444801934,0.003776704601190913,-0.006526928884245126,continuous_direct_verified,m_low,0.10452130325576449,0.5664930571615696,0.5735714686594356,0.0032467576718904906,0.030000000000000027,1.1350188636191392
106,29645,train,0.19968450055457654,0.025,0.0,1.155459813773632,0.01484333213328578,0.016777274985895072,0.016777274848019375,0.41305109532170087,gamma_high,0.19995449986524633,1.1520000000000001,0.018197008586099836,0.0012408261377336869,-0.015536448848161386,continuous_direct_verified,gamma_high,0.19999538063035044,1.1544016519495046,0.018199012822502723,0.00031088007577390053,0.0010581618241274349,1.2260732737827726
107,12230,train,0.1584415561053902,0.025,0.0,0.49684250652790074,0.5254156294224044,0.010277258005773796,0.01027725784058179,0.025955781242269854,a1_high,0.1717450760516548,0.43200000000000005,0.6918309709189366,0.004171250984115358,-0.006106007021658437,continuous_direct_verified,a1_high,0.16348912983654074,0.47113103997645744,0.5886607002380373,0.005047573731150529,0.025711466551443296,1.1203715064303643
108,5197,train,0.19823924531228843,0.025,0.0,1.0899200968444347,0.4233067093835075,0.014000185569531412,0.014000185658699269,0.048596435460351625,a1_low,0.1928233692176882,1.12,0.3630780547701014,0.01036710447374528,-0.0036330810957861323,continuous_direct_verified,a1_low,0.19323385061191375,1.1192027176662986,0.3673856429747286,0.005005394700374671,0.029282620821863947,1.1522135322327378
109,10650,train,0.16713252672925594,0.025,0.0,0.4507006980478764,0.23170899293262304,0.010028448539817414,0.010028448802983564,0.014108119688646123,a1_high,0.17462894002288326,0.42400000000000004,0.3019951720402016,0.0042383750245625915,-0.005790073515254822,continuous_direct_verified,gamma_low,0.1632656536821857,0.4657525734844763,0.19309082744385256,0.0038668730470702295,0.015051875436599915,1.1999999999999997
110,29146,train,0.1629094540141523,0.025,0.0,0.5933013014495373,0.2789473831540307,0.010353941146035548,0.010353940937223,0.021532098926281724,a1_low,0.15708234137858176,0.624,0.20892961308540398,0.005960742771769712,-0.004393198374265836,continuous_direct_verified,gamma_low,0.15900526777703944,0.6132405824997892,0.23245615262835898,0.003904186237112861,0.01993928105025189,1.1999999999999997
111,21877,train,0.17730500572361052,0.025,0.0,0.8273087926208973,0.5641421336646042,0.01163973255996789,0.011639732302848952,0.043316789684429265,a1_low,0.17090943293554559,0.8720000000000001,0.47863009232263826,0.005940510863055612,-0.005699221696912278,continuous_direct_verified,m_low,0.18173621377188037,0.7973087926208973,0.6240011416252738,0.004431208048269852,0.030000000000000027,1.1061062529966201
112,32994,train,0.1842360085807741,0.025,0.0,0.527953028678894,0.6675981360828915,0.010806196838677501,0.010806196174590565,0.03615738397588155,a1_low,0.17685795262881282,0.5680000000000001,0.5754399373371569,0.003993520461401363,-0.006812676377276138,continuous_direct_verified,a1_high,0.1892360085807741,0.5027950585295793,0.7308218544705036,0.0050000000000000044,0.025157970149314757,1.0947032577990332
113,45773,train,0.19932304928079247,0.025,0.0,0.8529058121144771,0.18903711061510245,0.010185166563731954,0.010185166571755846,0.02471014618992242,gamma_low,0.19510249254178766,0.8720000000000001,0.1445439770745927,0.007120206162396808,-0.003064960401335146,continuous_direct_verified,gamma_low,0.19632389781942028,0.8665816391610229,0.15753092551258538,0.002999151461372196,0.013675827046545797,1.2
114,25389,train,0.19381591747514904,0.025,0.0,1.1965435683727264,0.1997819098421963,0.016812326723048502,0.016812327335738394,0.24146324889716644,a1_high,0.19977325463588763,1.1680000000000001,0.26302679918953814,0.010706527736028525,-0.006105798987019977,continuous_direct_verified,gamma_high,0.19755939971849948,1.1785082593295044,0.23973829181063552,0.0037434822433504433,0.018035309043221925,1.2
