candidate_id,a1,m,gamma,grid_mahalanobis,continuous_mahalanobis,continuous_rms_snr,trigger,alias_a1,alias_m,alias_gamma
43572,0.10281979329884053,0.9550178546085953,0.34684245419688525,7.042925615650379,3.9473967716149363,0.2553358709585129,gamma_low,0.09871945234634015,0.9480364377792082,0.2890353784974044
43611,0.12264966554939748,1.1556633142288775,0.5907743296492844,4.963955646594128,2.993536120419841,0.1936357545938962,a1_high,0.12764966554939747,1.1638729529090397,0.6624833894332762
43618,0.09783879537135363,0.5318754569906742,0.254683879185468,3.9467783879851694,1.7233888579518901,0.11147675810286353,a1_high,0.10283879537135364,0.5206667705413521,0.28206848186853783
43628,0.12874971479177474,0.28494283427484335,0.14542914497666062,0.06819875915346593,0.05635314502960794,0.0036451819261886865,gamma_low,0.15914165054888266,0.27963944357117426,0.12119095414721717
43629,0.08422263767570258,1.0921864067297429,0.6504018866829574,4.334339319516138,3.001885724901033,0.19417584560975118,a1_high,0.08922263767570258,1.096758820854296,0.7583483133165622
43630,0.0190152058377862,0.9386685610190034,0.28526436241343617,2.013208792551137,0.9836825385097688,0.06362913389482146,gamma_low,0.018358389190227652,0.9316521094190171,0.23772030201119682
43663,0.17188802622258664,1.4417259510047733,0.9501063584350049,3.477303692257356,1.7098126772578757,0.11059858797648475,a1_low,0.16688802622258664,1.4310493918231388,0.8925579328391173
43668,0.10943805687129499,0.8571549401339144,0.600364901246503,4.880729038686207,2.65941945560177,0.17202354418055754,a1_high,0.11443805687129499,0.849531243036415,0.6747542009181583
43731,0.12647133637219668,1.1784434397798031,0.22965747977606954,6.209323442271293,3.559213821147521,0.23022640325524665,gamma_low,0.12316076481030372,1.165418568282177,0.19138123314672462
43732,0.10687247253954411,0.24809581749141216,0.4032891656458378,0.301462691286365,0.15078888432202417,0.009753722095049202,a1_low,0.1017457605962657,0.2553957876771133,0.4075534603585935
43733,0.05608328301459551,1.430868925023824,0.8885558697674424,2.703487053381233,2.0896720723595483,0.13516964964110142,m_low,0.0522924214465281,1.400868925023824,0.7642491798952701
43799,0.1969919461756945,1.4612271728366613,0.6583884985465557,4.619658635684503,2.307351431259456,0.14925015684880721,a1_low,0.19199194617569448,1.4480631745188737,0.614357741242618
43861,0.05342808421701193,1.2286050562746822,0.2520743576157838,3.0348259139252223,1.9290606516460134,0.12478056048526347,gamma_low,0.0519288486088683,1.2137056118648042,0.21006196467981983
43868,0.14120460767298937,0.9141815964598209,0.5036471034120769,6.994116552544782,2.944589566405153,0.1904696652132624,a1_high,0.14620460767298937,0.9132948107757164,0.5589599640187543
43995,0.1244868502020836,1.4513246739562602,0.30234067351557314,4.870458912384324,3.577594298135004,0.2314153374748771,gamma_low,0.1204214712530702,1.4285819952595553,0.25195056126297766
44008,0.19831418078392746,0.9893197870347649,0.26320666991174224,9.421979007920282,4.037148980336552,0.2611414587193318,a1_low,0.19331418078392745,0.9821555012455291,0.2289025364468289
44034,0.09063986167311669,0.5186099761351943,0.8923506869096309,2.6639549656484007,1.1444388373054362,0.0740275944347448,m_high,0.08605379355098172,0.5486099761351944,0.8071362694927665
44044,0.1359000602737069,0.26706332791596654,0.9706545446068049,1.212208171625844,0.32938010283383706,0.021305827688326038,a1_low,0.13067779681727723,0.2890515959150935,0.9051907721162287
44057,0.028186649829149247,1.1738441037852316,0.5653044142387808,1.6802328773041741,1.4180689992401865,0.09172725822849728,gamma_low,0.026686020781399627,1.1591123673707147,0.47108701186565066
44070,0.028104536049067975,0.7988964908383787,0.9886700845044106,1.542930880104562,1.0914808930188995,0.07060202978773232,gamma_low,0.025918635622157273,0.829330136076164,0.8238917370870089
44121,0.025620684027671814,1.8125356575660407,0.45282339966855945,0.6947740815250837,0.6947740815250837,0.0449411993497251,m_high,0.026894666873037047,1.85075,0.5179474679231213
44136,0.19907684214413168,0.9377834078390151,0.11941853101365267,8.74410519259083,3.1741874531746577,0.2053211178997734,gamma_low,0.19587017377094354,0.9324696943560581,0.09951544251137726
44164,0.11322112493216992,0.29177351333200935,0.3446866257674992,0.33709963614839267,0.08916146350932583,0.005767375629629305,a1_high,0.11822112493216992,0.2855688382824515,0.34145319387140155
44170,0.05711414497345686,0.5406485168635845,0.29924048530869185,2.9015176512805354,2.2709574562300947,0.14689602630419452,gamma_high,0.06287555195983646,0.5154167046535668,0.3590885823704303
44198,0.02596025262027979,0.2638837831746787,0.5835789567045867,0.155369370570897,0.15536937057089462,0.010050009120001684,m_low,0.02966122297183389,0.22558333333333333,0.6309573444801934
44200,0.19437792524695396,0.5139743352215738,0.5362010591384023,3.3925229907239016,0.9682539635090216,0.0626311423415546,a1_low,0.18937302320774535,0.5240232193775975,0.5130185958049072
44224,0.16133480798453093,0.28048090430907907,0.08872203964740037,0.15654166169672376,0.02500806857720837,0.0016176374812556114,gamma_high,0.1322865958765881,0.28328293884006395,0.10646644757688042
44237,0.07885017991065979,1.494462596140802,0.9175686383713036,3.2115714073725106,2.166258221182637,0.14012359578447364,a1_low,0.07385017991065979,1.4657048214369846,0.7966916992679476
44241,0.02330500837415457,1.7729920558072627,0.8622458609286696,0.5413644874142445,0.5413644874142445,0.03501795763068764,m_low,0.02195444137182083,1.7346666666666666,0.7686246100397738
44245,0.055779175087809565,1.1789937403611839,0.3954248887486756,3.5566696490770786,2.4571389866590834,0.15893910836027722,gamma_low,0.05347857471046621,1.1627791845484006,0.32952074062389636
44249,0.02658861018717289,1.2709720590990037,0.11734824107959865,0.9884079885186875,0.6112267749726026,0.03953697334482612,gamma_low,0.02621156477722024,1.2616614896868321,0.09779020089966554
44373,0.05375888422131539,1.4745950817875564,0.7451897585205733,2.3813776785494287,1.8978641893270818,0.12276262908948692,m_low,0.050511713956659876,1.4445950817875564,0.6342880041408695
44436,0.11079613883048296,0.2864292787574232,0.6784535075630993,0.9606652804241963,0.24855299357389898,0.01607755661906085,a1_high,0.11579676508360444,0.2695368297758737,0.7072974584652488
44439,0.19866133015602827,1.7497713432181627,0.31331717084161936,4.054031042930959,2.77173712678586,0.17928877036760954,a1_low,0.19366133015602827,1.7278002255217781,0.2805331323136533
44507,0.12498549800366164,1.2051742833387107,0.7954711437411607,4.602090196888485,2.3188807855331435,0.14999592878038245,a1_high,0.13005605299224285,1.2103326804043428,0.8761591297084607
44520,0.19803297072649004,0.7354034167248755,0.7601892822887748,4.337730395220811,1.5877942587367087,0.10270587260768327,a1_low,0.19303297072649003,0.7445496879078822,0.7170190817773598
44526,0.021338078379631045,0.9881925331056118,0.11102259402163327,1.6623355883342705,0.6148364080070414,0.039770461095871734,gamma_low,0.021024500759297914,0.9824427055342505,0.09251882835136105
44539,0.11462258119136096,1.5763409675750881,0.43512024483643474,4.200679105272821,2.989797355432947,0.1933939139912229,a1_high,0.11962258119136096,1.60638764066327,0.49920332225463887
44556,0.13526135198771955,0.9228168129175901,0.237336908550933,9.281974996140391,4.028508244606524,0.26058253598847947,gamma_low,0.1312178713307256,0.9162278934133737,0.1977807571257775
44598,0.04959873910993338,0.7051984654087573,0.4473246585391462,3.6299144176797826,2.327693186120991,0.1505659555877999,gamma_high,0.05323505758243996,0.687677128126594,0.5367895902469755
