state_id,a1,a2,a3,m,gamma,continuous_mahalanobis
60,0.09589587971568109,0.025,0.0,1.45783867418766,0.3428970249835402,3.112169726319704
61,0.13256705384701492,0.025,0.0,0.7852806524094195,0.31636271155439316,3.4513262086183185
62,0.11033222079277039,0.025,0.0,0.7506329660862684,0.23431018512696028,3.5216850200854792
63,0.16931326780468225,0.025,0.0,1.1546363181434571,0.44867084474302826,3.259546668126255
64,0.19172503370791674,0.025,0.0,1.343007073327899,0.14361982978880405,3.11640064565142
65,0.1382226338610053,0.025,0.0,1.17963295083493,0.3123058353830129,4.207080487271377
66,0.12293812688440085,0.025,0.0,0.9212318323366344,0.2550582684576511,3.9475902052216494
67,0.1992935059592128,0.025,0.0,0.7522507895622402,0.21240035434253515,3.4030681716291924
68,0.08498357739299536,0.025,0.0,0.7594519663508982,0.3721496607735753,3.518256798930813
69,0.09772115238010884,0.025,0.0,1.1655377277173102,0.44020454460754993,3.8777230089466124
70,0.1609780987724662,0.025,0.0,0.9228596285916865,0.2671572162769735,4.0089812417300035
71,0.08798340186476708,0.025,0.0,1.3202171955443918,0.589499991023913,3.0795263541891345
72,0.11148618943989277,0.025,0.0,1.0050643736310303,0.4311939417850226,3.7444727519327214
73,0.14863193165510893,0.025,0.0,1.2781996569875629,0.4952978818677366,3.147765749214611
74,0.07260450441390276,0.025,0.0,0.9316552768740803,0.4404013613332063,3.249150213757361
75,0.16361215896904469,0.025,0.0,0.8804301147349178,0.38568859818391504,3.1864744394106492
76,0.14731501843780279,0.025,0.0,0.7147142721433193,0.17535344521515073,3.486818343499255
77,0.13231125250458717,0.025,0.0,0.9384830462001265,0.14877638927660883,3.0269366831291857
78,0.10784034468233586,0.025,0.0,1.2279097676835955,0.5911471727117896,3.059303291768037
79,0.09496755450963974,0.025,0.0,1.4606791073735803,0.522323830043897,3.043149596582895
80,0.1947606734931469,0.025,0.0,1.282079418329522,0.2896973040699959,3.984671706392631
81,0.0919829336926341,0.025,0.0,0.9646500709746033,0.5765428203064948,3.1389918701328394
82,0.1782273542135954,0.025,0.0,0.9224195586331189,0.13302488021552564,3.2688984333763593
83,0.0776387332007289,0.025,0.0,1.169995263433084,0.7320593625307084,3.1161786501271393
84,0.10537361335009338,0.025,0.0,0.6973688126448542,0.15826563942246138,3.1222984098725255
85,0.07755973413586617,0.025,0.0,0.6924165169987827,0.29303800671361385,3.012621552769812
86,0.09365297723561526,0.025,0.0,0.8177193802129478,0.30180216473527255,3.557760918523905
87,0.07666676118969917,0.025,0.0,1.196308100949973,0.4861089366208762,3.2574006538371716
88,0.157516279630363,0.025,0.0,0.9058001382090152,0.19245316336862744,3.908913733730918
89,0.10384320244193078,0.025,0.0,1.162381885237992,0.3292980426363647,3.7294839941999522
90,0.0992200244218111,0.025,0.0,0.922651332616806,0.15961272458545864,3.0464148497213794
