state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
28,27,0.125,0.125,0.15848931924611143,0.1,0.007442363054909306,37.211815274546524,3.7211815274546525
29,28,0.125,0.125,0.25118864315095807,0.15848931924611143,0.011506893608324851,57.53446804162426,5.753446804162426
30,43,0.125,0.1625,0.3981071705534973,1.0,0.0032315684881008924,16.157842440504464,1.6157842440504466
31,11,0.125,0.0875,0.6309573444801934,0.01,0.009989215522263829,49.94607761131914,4.994607761131914
32,17,0.125,0.0875,1.0,0.15848931924611143,0.004867383561537174,24.33691780768587,2.433691780768587
33,34,0.1625,0.1625,0.01,0.015848931924611134,0.0009045644219453156,4.522822109726579,0.45228221097265775
34,33,0.1625,0.1625,0.015848931924611134,0.01,0.0009045644219453156,4.522822109726579,0.45228221097265775
35,34,0.1625,0.1625,0.025118864315095794,0.015848931924611134,0.0014350238017831053,7.175119008915527,0.7175119008915526
36,35,0.1625,0.1625,0.039810717055349734,0.025118864315095794,0.0022770531155428685,11.385265577714343,1.1385265577714343
37,36,0.1625,0.1625,0.06309573444801933,0.039810717055349734,0.00361244929963955,18.062246498197748,1.8062246498197747
38,37,0.1625,0.1625,0.1,0.06309573444801933,0.0057217232778003675,28.60861638900184,2.8608616389001837
39,53,0.1625,0.2,0.15848931924611143,0.6309573444801934,0.0077371423910495875,38.68571195524793,3.868571195524793
40,53,0.1625,0.2,0.25118864315095807,0.6309573444801934,0.007094527353757172,35.472636768785854,3.5472636768785857
41,54,0.1625,0.2,0.3981071705534973,1.0,0.012864797487969067,64.32398743984533,6.432398743984534
42,27,0.1625,0.125,0.6309573444801934,0.1,0.0026248675901672006,13.124337950836004,1.3124337950836003
43,30,0.1625,0.125,1.0,0.3981071705534973,0.0032315684881008924,16.157842440504464,1.6157842440504466
44,45,0.2,0.2,0.01,0.015848931924611134,0.0010389591861831714,5.1947959309158565,0.5194795930915856
45,44,0.2,0.2,0.015848931924611134,0.01,0.0010389591861831714,5.1947959309158565,0.5194795930915856
46,45,0.2,0.2,0.025118864315095794,0.015848931924611134,0.001648495265924426,8.24247632962213,0.824247632962213
47,46,0.2,0.2,0.039810717055349734,0.025118864315095794,0.002616505460239965,13.082527301199825,1.3082527301199824
48,47,0.2,0.2,0.06309573444801933,0.039810717055349734,0.004152828497516482,20.764142487582408,2.076414248758241
49,48,0.2,0.2,0.1,0.06309573444801933,0.006582192086659096,32.91096043329548,3.291096043329548
50,49,0.2,0.2,0.15848931924611143,0.1,0.010377350133765612,51.886750668828064,5.188675066882806
51,50,0.2,0.2,0.25118864315095807,0.15848931924611143,0.016105037366832442,80.52518683416223,8.052518683416222
52,33,0.2,0.1625,0.3981071705534973,0.01,0.0036023266249292293,18.011633124646146,1.8011633124646145
53,40,0.2,0.1625,0.6309573444801934,0.25118864315095807,0.007094527353757172,35.472636768785854,3.5472636768785857
54,22,0.2,0.125,1.0,0.01,0.006670510900736059,33.352554503680295,3.3352554503680296
