state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
15,27,0.0875,0.125,0.06309573444801933,0.1,0.002,0.004969615489244461,0.0013394747747935214,0.013394747747935214,0.07407792622756451,0.01808196912368614,3.6163938247372284e-05,370.38963113782256,37.03896311378226
15,28,0.0875,0.125,0.06309573444801933,0.15848931924611143,0.002,0.0044294968247413635,0.001200539414567493,0.012005394145674931,0.06664901000573954,0.018012861923442036,3.602572384688407e-05,333.24505002869773,33.32450500286977
15,29,0.0875,0.125,0.06309573444801933,0.25118864315095807,0.002,0.003601010888814926,0.000987797868336535,0.00987797868336535,0.055162556647271606,0.01790703564834485,3.58140712966897e-05,275.81278323635803,27.581278323635804
15,30,0.0875,0.125,0.06309573444801933,0.3981071705534973,0.002,0.0023872368037700653,0.000676918479933544,0.006769184799335439,0.03813128479718903,0.01775231240001242,3.550462480002484e-05,190.65642398594517,19.065642398594516
15,31,0.0875,0.125,0.06309573444801933,0.6309573444801934,0.002,0.00076240673661232,0.0002635798421517974,0.002635798421517974,0.015022541075503205,0.017545622995939675,3.509124599187935e-05,75.11270537751604,7.511270537751603
15,32,0.0875,0.125,0.06309573444801933,1.0,0.002,0.0011348500847816467,0.00023217375825431287,0.0023217375825431287,0.013416972821697026,0.01730448152051535,3.46089630410307e-05,67.08486410848512,6.708486410848512
15,33,0.0875,0.1625,0.06309573444801933,0.01,0.002,0.0112784244120121,0.0030240665822349132,0.03024066582234913,0.15981923861217806,0.01892179319896023,3.784358639792046e-05,799.0961930608903,79.90961930608904
15,34,0.0875,0.1625,0.06309573444801933,0.015848931924611134,0.002,0.01120687648653984,0.0030056030189492483,0.030056030189492485,0.1589206402512224,0.018912603260331562,3.7825206520663124e-05,794.6032012561121,79.4603201256112
15,35,0.0875,0.1625,0.06309573444801933,0.025118864315095794,0.002,0.01109347864985466,0.0029763463259451515,0.029763463259451513,0.15749496268507052,0.018898041405277843,3.779608281055569e-05,787.4748134253524,78.74748134253525
15,36,0.0875,0.1625,0.06309573444801933,0.039810717055349734,0.002,0.010913807898759842,0.002930009120289426,0.029300091202894257,0.15523244714859546,0.01887497861503587,3.774995723007174e-05,776.1622357429775,77.61622357429775
