a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.0875,0.125,0.039810717055349734,0.002,0.005380347371101379,0.0014452709894936398,0.014452709894936397,0.07952478286837847,0.018173843893239026,3.6347687786478056e-05,397.6239143418923,39.76239143418924
0.0875,0.125,0.06309573444801933,0.002,0.005314726382493973,0.0014283569995621392,0.014283569995621392,0.07880077244035513,0.018126180179810707,3.625236035962141e-05,394.00386220177575,39.40038622017757
0.0875,0.125,0.1,0.002,0.005211193114519119,0.0014016917522744878,0.014016917522744879,0.0776515694290464,0.01805104214352389,3.610208428704778e-05,388.257847145232,38.825784714523195
0.0875,0.125,0.15848931924611143,0.002,0.00504915788769722,0.0013600068156863119,0.013600068156863118,0.07583571720675675,0.017933592056344913,3.586718411268983e-05,379.17858603378363,37.91785860337836
0.0875,0.125,0.25118864315095807,0.002,0.004800613969564438,0.0012961650403640686,0.012961650403640685,0.07300801783837535,0.01775373553126055,3.55074710625211e-05,365.04008919187675,36.504008919187676
0.0875,0.125,0.3981071705534973,0.002,0.00443648174405098,0.0012028087855552687,0.012028087855552688,0.06876818552965035,0.01749077391371132,3.498154782742264e-05,343.84092764825175,34.384092764825176
0.0875,0.125,0.6309573444801934,0.002,0.003949031233787537,0.0010780733932592762,0.010780733932592762,0.06289998128619662,0.017139486709129736,3.4278973418259477e-05,314.4999064309831,31.44999064309831
0.0875,0.125,1.0,0.002,0.003379855304956436,0.0009325324686040469,0.009325324686040469,0.05574135730854721,0.016729633321308723,3.345926664261745e-05,278.706786542736,27.8706786542736
0.125,0.1625,0.01,0.002,0.005464494228363037,0.001466976517697278,0.014669765176972781,0.07447396111664989,0.019697844665460006,3.9395689330920014e-05,372.3698055832495,37.236980558324944
0.125,0.1625,0.015848931924611134,0.002,0.005447976291179657,0.0014627155576904828,0.014627155576904829,0.0743189747947372,0.019681589550049373,3.936317910009875e-05,371.5948739736861,37.15948739736861
0.125,0.1625,0.025118864315095794,0.002,0.0054218098521232605,0.0014559642729551584,0.014559642729551583,0.07407288809788944,0.01965583238810751,3.931166477621502e-05,370.36444048944713,37.036444048944716
0.125,0.1625,0.039810717055349734,0.002,0.005380347371101379,0.0014452713875287532,0.01445271387528753,0.07368180152311465,0.01961503868869653,3.923007737739306e-05,368.40900761557333,36.840900761557336
0.125,0.1625,0.06309573444801933,0.002,0.005314730107784271,0.0014283571560650414,0.014283571560650413,0.07305982449005313,0.019550514472690905,3.9101028945381814e-05,365.29912245026566,36.529912245026566
0.125,0.1625,0.1,0.002,0.005211196839809418,0.0014016919957383206,0.014016919957383207,0.07207088193676058,0.019448797601342684,3.889759520268537e-05,360.3544096838028,36.035440968380286
0.125,0.1625,0.15848931924611143,0.002,0.00504915788769722,0.0013600070573566755,0.013600070573566755,0.07050394040371805,0.019289802095727338,3.857960419145468e-05,352.5197020185902,35.25197020185902
0.125,0.1625,0.25118864315095807,0.002,0.004800617694854736,0.0012961649416681612,0.012961649416681612,0.06805327345781048,0.019046327616726866,3.809265523345373e-05,340.2663672890524,34.026636728905245
0.125,0.1625,0.3981071705534973,0.002,0.004436478018760681,0.0012028083418487744,0.012028083418487743,0.06435448108589285,0.018690358799465824,3.738071759893165e-05,321.77240542946424,32.17724054294642
0.125,0.1625,0.6309573444801934,0.002,0.003949031233787537,0.0010780736299347427,0.010780736299347428,0.05918655395389852,0.01821484032968829,3.642968065937658e-05,295.93276976949267,29.593276976949262
0.125,0.1625,1.0,0.002,0.003379855304956436,0.0009325322496446698,0.009325322496446698,0.052804545883100705,0.017660075170594598,3.53201503411892e-05,264.0227294155035,26.402272941550343
