state_id,state_index,a1,a2,a3,m,gamma,selected_rank,alias_score,nearest_alias_state_id,nearest_selected_rms_snr,nearest_selected_state_id
3P_S00046072,46072,0.16661202047007873,0.025,0.0,0.40364963435792006,0.0344015017431933,53,0.03033666601075728,PROFILED_CONTINUOUS,2.1376553891864805,3P_S00029988
3P_S00024106,24106,0.11379594274668348,0.025,0.0,1.1904311381528814,0.3494214538341665,54,0.030453690638398114,PROFILED_CONTINUOUS,1.3580496364218508,3P_S00013993
3P_S00027376,27376,0.16335666105883778,0.025,0.0,1.1097818398789094,0.955357504531349,55,0.5545455641552994,PROFILED_CONTINUOUS,1.4497234539289008,3P_S00006777
3P_S00034815,34815,0.1581627767459688,0.025,0.0,0.930370767624357,0.24930877009436966,56,0.0260492103766771,PROFILED_CONTINUOUS,1.3029882651448108,3P_S00034833
3P_S00014510,14510,0.17866869380631628,0.025,0.0,0.6108313500012585,0.7398622664570422,57,0.030919517944223863,PROFILED_CONTINUOUS,1.3524748409270024,3P_S00020248
3P_S00046510,46510,0.19845652881722353,0.025,0.0,0.8326414601859543,0.5077408562671177,58,0.039216433421284724,PROFILED_CONTINUOUS,1.3047939549527952,3P_S00033272
3P_S00017759,17759,0.1297583748284037,0.025,0.0,1.0680959562283368,0.2750199372866889,59,0.02616683959765579,PROFILED_CONTINUOUS,1.377166815815591,3P_S00007239
3P_S00043230,43230,0.08471792390057381,0.025,0.0,1.0647872346311962,0.9725144948131244,60,0.2926128376053762,PROFILED_CONTINUOUS,2.2912332788808665,3P_S00000347
3P_S00003777,3777,0.17890264273488204,0.025,0.0,0.836831587399076,0.4253060624438489,61,0.03353138833719106,PROFILED_CONTINUOUS,1.316104380821527,3P_S00043077
3P_S00008941,8941,0.14457576947570208,0.025,0.0,0.795234422995217,0.5145490240072802,62,0.02558501500033879,PROFILED_CONTINUOUS,1.3979848284993452,3P_S00013471
3P_S00022854,22854,0.12436177950614466,0.025,0.0,0.9292047685641086,0.6853115473036879,63,0.028539963628080076,PROFILED_CONTINUOUS,1.3847743324519262,3P_S00041741
3P_S00040513,40513,0.15540677655080726,0.025,0.0,1.198201030991087,0.20464233409926788,64,0.03970642526324314,PROFILED_CONTINUOUS,1.4202701176317076,3P_S00006131
3P_S00017622,17622,0.1570495753380497,0.025,0.0,1.0075809526123112,0.36829682430753996,65,0.034247000847506065,PROFILED_CONTINUOUS,1.3273289264130568,3P_S00035955
3P_S00000593,593,0.19633232892863828,0.025,0.0,0.4835360568117426,0.023119853547507275,66,0.03494277341697119,PROFILED_CONTINUOUS,1.3763013645348716,3P_S00031427
3P_S00011710,11710,0.18104791560765238,0.025,0.0,1.1878235042928136,0.7153762603874321,67,0.049309622715566784,PROFILED_CONTINUOUS,1.4034379221819069,3P_S00044735
3P_S00029879,29879,0.15571272963147587,0.025,0.0,0.5246120576552522,0.6764513285029337,68,0.02758057716599652,PROFILED_CONTINUOUS,1.4855004401665626,3P_S00008941
3P_S00008470,8470,0.18552589186914703,0.025,0.0,0.48392593803082806,0.7163055092789108,69,0.02729776615517424,PROFILED_CONTINUOUS,1.5191409828964868,3P_S00027088
3P_S00032341,32341,0.18534339206561207,0.025,0.0,0.9938802275989247,0.9130503047952123,70,0.026142344884047635,PROFILED_CONTINUOUS,1.372299290627853,3P_S00018058
3P_S00012764,12764,0.18274687882161966,0.025,0.0,1.0397088672669001,0.2462730926910305,71,0.033577688032744135,PROFILED_CONTINUOUS,1.4492917664747549,3P_S00034472
3P_S00043077,43077,0.17239864250154918,0.025,0.0,0.6380441287557156,0.36966635064793996,72,0.025558742103581295,PROFILED_CONTINUOUS,1.316104380821527,3P_S00003777
3P_S00012588,12588,0.17945942884556915,0.025,0.0,1.0373014374018907,0.4364310972916281,73,0.040147427932255716,PROFILED_CONTINUOUS,1.426476164792287,3P_S00041091
3P_S00031427,31427,0.19871517756189438,0.025,0.0,0.6379864278216048,0.030452162805503342,74,0.025556195071152525,PROFILED_CONTINUOUS,1.3300888537333044,3P_S00030749
3P_S00007469,7469,0.1721245634132991,0.025,0.0,0.6878145808993873,0.8018586946331719,75,0.025420652234822105,PROFILED_CONTINUOUS,1.3839467995768455,3P_S00041154
3P_S00019467,19467,0.05305344547184733,0.025,0.0,0.5122111576896777,0.8697224122231233,76,0.21963061616956878,PROFILED_CONTINUOUS,1.3099415951305673,3P_S00007963
3P_S00047140,47140,0.18653899999404155,0.025,0.0,0.77450837161214,0.21387418094063698,77,0.02606762857569996,PROFILED_CONTINUOUS,1.474667670328535,3P_S00043296
3P_S00033699,33699,0.191012397194819,0.025,0.0,0.6520924938344052,0.5572471061814105,78,0.03187179591037136,PROFILED_CONTINUOUS,1.3158613830923114,3P_S00029889
3P_S00022007,22007,0.186206166323656,0.025,0.0,1.192885026707037,0.38094880692303185,79,0.3858065866996406,PROFILED_CONTINUOUS,1.3458630621161238,3P_S00003417
3P_S00007994,7994,0.14256966398936421,0.025,0.0,1.1723307843742252,0.8949296829127854,80,0.37189650753506875,PROFILED_CONTINUOUS,1.7059404255710335,3P_S00012184
3P_S00007042,7042,0.12941878236158513,0.025,0.0,1.1988684457182308,0.16396043718889822,81,0.029566870055751305,PROFILED_CONTINUOUS,1.3039130218112505,3P_S00043910
3P_S00006777,6777,0.14880022179147026,0.025,0.0,0.9442743705652809,0.8007286564011435,82,0.026808448737909055,PROFILED_CONTINUOUS,1.4497234539289008,3P_S00027376
3P_S00016398,16398,0.1593135760363574,0.025,0.0,1.161729689164905,0.13356518227685144,83,0.026263741963003094,PROFILED_CONTINUOUS,1.3383643673837795,3P_S00003777
3P_S00019526,19526,0.1239590824494465,0.025,0.0,0.8729841469333562,0.38786625051674534,84,0.027090083314830964,PROFILED_CONTINUOUS,1.3595210635872166,3P_S00044667
3P_S00022301,22301,0.18766574038168687,0.025,0.0,0.7799267475167097,0.43895205922452357,85,0.03601539498881686,PROFILED_CONTINUOUS,1.5202917867048755,3P_S00000142
3P_S00035552,35552,0.15960534402441817,0.025,0.0,0.8649674272685024,0.25071929288458755,86,0.025448742754101538,PROFILED_CONTINUOUS,1.3064389364708395,3P_S00041091
3P_S00038924,38924,0.17067932898437818,0.025,0.0,1.0282334939370261,0.740636660660288,87,0.03276275525084132,PROFILED_CONTINUOUS,1.3447370501000007,3P_S00045334
3P_S00004848,4848,0.173427061866662,0.025,0.0,0.8361681246539026,0.3171904373765157,88,0.027714178104852705,PROFILED_CONTINUOUS,1.3616114953390221,3P_S00029889
3P_S00044293,44293,0.15269562004918796,0.025,0.0,0.7423102328099797,0.7045501605140002,89,0.02945722188812426,PROFILED_CONTINUOUS,1.3242071042428736,3P_S00007239
