state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,source_candidate_index
89,0.1447233213560995,0.9446617167899322,130,0.1326583020876501,0.6838935409492072,1.6330133628208048,5.682983813556725e-05,train,3712
90,0.196501906720359,0.6151333627248814,8,0.1452624781505939,0.0205088033581028,1.8956429051804926,7.319382476588077e-05,train,3398
91,0.1931342181722298,0.749933248211177,50,0.1930261769723427,0.7822791721718071,1.8416105672323289,6.960650631897414e-05,train,5495
92,0.1373470427070004,0.8790402183134378,22,0.0923545779341742,0.0173237690353571,1.7914178696506324,6.192890758362634e-05,train,2402
93,0.1223419103753111,0.9039122260683616,111,0.1180315109376044,0.8593303666568922,1.7362560622276806,5.847330228084011e-05,test,2901
94,0.0915741860012198,0.0367272101763066,88,0.088777692035462,0.0104390559111284,1.777591143442265,6.115626631558666e-05,test,4290
95,0.1366219250876212,0.9849494657920947,4,0.08940942100276,0.06399092250153,1.7624010890956014,6.03327549206268e-05,test,3163
96,0.0713875931289806,0.0122869324936087,107,0.1122016189009446,0.9808183023142608,1.6612932047340205,5.490468915543943e-05,val,4252
97,0.1161416812009962,0.0248551415338872,43,0.1646422262645824,0.7584169538715138,1.743059200705869,6.334000624025682e-05,val,4024
98,0.0968814004516665,0.0216537681334264,130,0.1326583020876501,0.6838935409492072,1.647031489351525,5.745581984368996e-05,test,4323
99,0.0782222137098022,0.0111943059551929,117,0.0797552662103083,0.0854810549973456,1.5886616192570406,5.320324616203628e-05,test,1431
100,0.0818917369933231,0.0207060261002102,113,0.0831049592513594,0.0149427363810318,1.6262214028396078,5.5039483012364805e-05,val,4891
101,0.1154453121323676,0.6097308674292365,53,0.0859074913354353,0.0431700052759949,1.7074258476969972,5.8172564543835716e-05,val,4142
102,0.1462755582164827,0.2865791101414816,41,0.1291706423139488,0.0693606675624443,1.6916392276814394,6.289378916426499e-05,val,3216
103,0.1289017528796782,0.4052611165918742,6,0.1079127071719528,0.0309074291756947,1.6882646627924491,6.0200479142229114e-05,test,4796
104,0.1609813471527552,0.8030056157915935,42,0.1698710954298545,0.9857912693415856,1.6867673838964192,6.059454877760061e-05,test,1874
105,0.13990971470309,0.0107699232786838,29,0.1917951588369971,0.6461131196033661,1.6711621542439241,6.38896547420212e-05,val,668
106,0.1986895200866678,0.889041241844021,50,0.1930261769723427,0.7822791721718071,1.661409032003756,6.258014442748794e-05,val,4168
107,0.1122016189009446,0.9808183023142608,96,0.0713875931289806,0.0122869324936087,1.6612932047340205,5.490468915543943e-05,val,4093
108,0.1100359864077932,0.040521559914352,60,0.1103618990046997,0.0178451628258839,1.6568568090984934,5.9461399535772886e-05,val,2682
109,0.0965297670142182,0.954757696789271,27,0.0685126125014334,0.160703166669368,1.6368976070846788,5.3025040759191223e-05,test,4861
110,0.1425505755822138,0.3719038415254588,13,0.1197709698003909,0.055547578705589,1.6326934946585019,5.96651999710089e-05,val,5887
111,0.1180315109376044,0.8593303666568922,40,0.0799487419226652,0.0140299923499826,1.629357671831452,5.481444092137127e-05,test,941
112,0.1477054846375096,0.8769938366737888,11,0.1440999496871517,0.851879989104603,1.6166641091521938,5.661725588507479e-05,val,1388
113,0.0831049592513594,0.0149427363810318,24,0.1224900758006286,0.8525129118025891,1.6113022180735852,5.459235028488661e-05,test,4686
114,0.1963905038697353,0.5163393246883292,17,0.1622974103953238,0.121558956046325,1.6042025221729816,6.288315840631111e-05,val,544
115,0.1300873640678561,0.9700592823359212,24,0.1224900758006286,0.8525129118025891,1.60079645340396,5.429292002858663e-05,val,2676
116,0.1974556599957214,0.4925580421653694,69,0.1597188525306152,0.0592107141934368,1.593696579504568,6.277194706724738e-05,test,3007
117,0.0797552662103083,0.0854810549973456,54,0.076371456374503,0.0358679349438562,1.5877939990124437,5.3007071021433535e-05,test,2140
118,0.0699704919460144,0.0246741966490509,7,0.0681522152230027,0.0115258959533426,1.5805520754153763,5.189037201160426e-05,test,779
119,0.1443682404501329,0.3091829289333753,21,0.1232109821316252,0.0223155495818724,1.5786992461218472,5.8334754362208856e-05,test,5715
120,0.1001496118602785,0.9741391871117342,27,0.0685126125014334,0.160703166669368,1.5769108224424497,5.11953930663665e-05,test,5075
121,0.0793323517900053,0.9771300119380912,0,0.05,0.01,1.5742084887953303,4.9503734565168366e-05,val,5142
122,0.105418293939862,0.9326517941887708,7,0.0681522152230027,0.0115258959533426,1.5669373867572662,5.1407089627813476e-05,val,3181
123,0.1175275265480116,0.9669123653168772,54,0.076371456374503,0.0358679349438562,1.5587506365203554,5.1980560101728046e-05,val,4057
124,0.1889161302983747,0.8772592900621583,62,0.1923081430745307,0.9585571347512888,1.5431168115818088,5.725081594115904e-05,val,4747
125,0.0586299294557569,0.0320411630302451,14,0.0871791299332353,0.8363945054469589,1.5418797035903442,4.942100570175217e-05,test,5035
126,0.1672618726329655,0.8305416029234257,43,0.1646422262645824,0.7584169538715138,1.5376582606154783,5.576997905653838e-05,test,3742
127,0.0764100858151227,0.9792003631938616,52,0.0678881809801721,0.7354747583351078,1.5299780730085983,4.787658260871256e-05,test,128
