gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.0013095350204826678,0.0013186214013947485,9.086380912080687e-06,0.002,7.078051567077637e-08,1.792378626667716e-08,1.792378626667716e-07,9.953257271796314e-07,0.018007960386461873,3.601592077292375e-05,0.004976628635898157,0.0004976628635898157
0.0013186214013947485,0.001327770829355429,9.149427960680528e-06,0.002,6.705522537231445e-08,1.7624956772926048e-08,1.762495677292605e-07,9.787323872195887e-07,0.018007942725789976,3.601588545157995e-05,0.004893661936097944,0.0004893661936097943
0.001327770829355429,0.0013369837418249467,9.212912469517675e-06,0.002,7.078051567077637e-08,1.799984176619862e-08,1.799984176619862e-07,9.995511276271739e-07,0.01800792502623482,3.6015850052469644e-05,0.004997755638135869,0.0004997755638135869
0.0013369837418249467,0.0013462605792989096,9.27683747396291e-06,0.002,6.705522537231445e-08,1.7833125066510164e-08,1.7833125066510164e-07,9.9029414412752e-07,0.018007907218538288,3.6015814437076577e-05,0.0049514707206376,0.00049514707206376
0.0013462605792989096,0.001355601785329369,9.341206030459353e-06,0.002,7.078051567077637e-08,1.82758262868993e-08,1.82758262868993e-07,1.0148788681815639e-06,0.01800788927613154,3.6015778552263084e-05,0.005074394340907819,0.0005074394340907819
0.001355601785329369,0.0013650078065460137,9.406021216644758e-06,0.002,7.078051567077637e-08,1.8076536934722074e-08,1.8076536934722073e-07,1.0038130945014006e-06,0.018007871219991197,3.60157424399824e-05,0.005019065472507002,0.0005019065472507003
0.0013650078065460137,0.0013744790926775367,9.471286131523034e-06,0.002,7.078051567077637e-08,1.8654893323738206e-08,1.8654893323738205e-07,1.0359310104378724e-06,0.018007852970684857,3.601570594136971e-05,0.005179655052189362,0.0005179655052189362
0.0013744790926775367,0.0013840160965731315,9.537003895594785e-06,0.002,7.450580596923828e-08,1.8690312238442796e-08,1.8690312238442795e-07,1.0378989385728588e-06,0.018007834427639473,3.601566885527895e-05,0.005189494692864294,0.0005189494692864295
0.0013840160965731315,0.0013936192742241421,9.603177651010611e-06,0.002,7.078051567077637e-08,1.8504397588529383e-08,1.850439758852938e-07,1.0275758946834708e-06,0.018007815952348103,3.6015631904696205e-05,0.0051378794734173545,0.0005137879473417355
0.0013936192742241421,0.0014032890847858733,9.669810561731143e-06,0.002,7.450580596923828e-08,1.903694876220989e-08,1.9036948762209892e-07,1.0571503246063157e-06,0.018007797301012304,3.6015594602024606e-05,0.005285751623031579,0.0005285751623031578
0.0014032890847858733,0.0014130259905995337,9.736905813660397e-06,0.002,7.078051567077637e-08,1.8601696786818903e-08,1.8601696786818903e-07,1.0329812024066568e-06,0.018007778596048372,3.601555719209674e-05,0.005164906012033284,0.0005164906012033283
0.0014130259905995337,0.001422830457214352,9.804466614818375e-06,0.002,7.450580596923828e-08,1.926718242623975e-08,1.9267182426239748e-07,1.0699377751939683e-06,0.01800775977158748,3.601551954317496e-05,0.005349688875969841,0.0005349688875969841
0.001422830457214352,0.001432702953409831,9.872496195478982e-06,0.002,7.450580596923828e-08,1.9212013189467553e-08,1.9212013189467553e-07,1.0668752709050257e-06,0.018007740654790966,3.601548130958193e-05,0.005334376354525127,0.0005334376354525128
0.001432702953409831,0.0014426439512181574,9.940997808326364e-06,0.002,7.450580596923828e-08,1.9218953263034557e-08,1.9218953263034556e-07,1.0672617959499357e-06,0.018007721569315967,3.6015443138631936e-05,0.005336308979749679,0.0005336308979749679
0.0014426439512181574,0.0014526539259467812,1.000997472862383e-05,0.002,7.450580596923828e-08,1.935331110976071e-08,1.935331110976071e-07,1.0747240639195682e-06,0.01800770240426021,3.601540480852042e-05,0.00537362031959784,0.0005373620319597841
