state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
29,42,0.08,0.095,0.25118864315095807,0.6309573444801934,0.0023888430778805534,11.944215389402766,1.1944215389402766
30,11,0.08,0.065,0.3981071705534973,0.01,0.0017718269583677974,8.859134791838986,0.8859134791838987
31,18,0.08,0.065,0.6309573444801934,0.25118864315095807,0.003427739545696842,17.13869772848421,1.713869772848421
32,0,0.08,0.05,1.0,0.01,0.0031584681315258343,15.792340657629172,1.5792340657629171
33,34,0.095,0.095,0.01,0.015848931924611134,0.0006069872144653258,3.0349360723266297,0.30349360723266294
34,33,0.095,0.095,0.015848931924611134,0.01,0.0006069872144653258,3.0349360723266297,0.30349360723266294
35,34,0.095,0.095,0.025118864315095794,0.015848931924611134,0.0009625572944452512,4.812786472226255,0.48127864722262564
36,35,0.095,0.095,0.039810717055349734,0.025118864315095794,0.001526423224497078,7.6321161224853915,0.7632116122485392
37,36,0.095,0.095,0.06309573444801933,0.039810717055349734,0.00241926949919245,12.096347495962249,1.209634749596225
38,52,0.095,0.11,0.1,0.3981071705534973,0.0017212140951821425,8.606070475910713,0.8606070475910713
39,76,0.095,0.14,0.15848931924611143,1.0,0.0039187092989258696,19.593546494629347,1.9593546494629348
40,53,0.095,0.11,0.25118864315095807,0.6309573444801934,0.007155822590681639,35.77911295340819,3.577911295340818
41,26,0.095,0.08,0.3981071705534973,0.06309573444801933,0.0011178978213587942,5.5894891067939705,0.558948910679397
42,54,0.095,0.11,0.6309573444801934,1.0,0.0012260399851037427,6.1301999255187125,0.6130199925518713
43,17,0.095,0.065,1.0,0.15848931924611143,0.0024440514988456705,12.22025749422835,1.222025749422835
44,45,0.11,0.11,0.01,0.015848931924611134,0.0006804840394401803,3.4024201972009016,0.34024201972009016
45,44,0.11,0.11,0.015848931924611134,0.01,0.0006804840394401803,3.4024201972009016,0.34024201972009016
46,45,0.11,0.11,0.025118864315095794,0.015848931924611134,0.001079217813594238,5.396089067971191,0.5396089067971191
47,46,0.11,0.11,0.039810717055349734,0.025118864315095794,0.0017116638562112774,8.558319281056386,0.8558319281056386
48,47,0.11,0.11,0.06309573444801933,0.039810717055349734,0.0027135237201513993,13.567618600757,1.3567618600756999
49,48,0.11,0.11,0.1,0.06309573444801933,0.004292945606978816,21.464728034894076,2.1464728034894076
50,63,0.11,0.125,0.15848931924611143,0.3981071705534973,0.0015128554881741107,7.564277440870553,0.7564277440870554
51,87,0.11,0.155,0.25118864315095807,1.0,0.0043668452136646505,21.834226068323254,2.1834226068323255
52,38,0.11,0.095,0.3981071705534973,0.1,0.0017212140951821425,8.606070475910713,0.8606070475910713
53,22,0.11,0.08,0.6309573444801934,0.01,0.0028972148086194825,14.486074043097412,1.448607404309741
54,42,0.11,0.095,1.0,0.6309573444801934,0.0012260399851037427,6.1301999255187125,0.6130199925518713
55,56,0.125,0.125,0.01,0.015848931924611134,0.0007494262532936068,3.7471312664680343,0.3747131266468034
56,55,0.125,0.125,0.015848931924611134,0.01,0.0007494262532936068,3.7471312664680343,0.3747131266468034
57,56,0.125,0.125,0.025118864315095794,0.015848931924611134,0.0011886981159569788,5.943490579784894,0.5943490579784894
58,73,0.125,0.14,0.039810717055349734,0.25118864315095807,0.001478620064466034,7.393100322330169,0.739310032233017
59,58,0.125,0.125,0.06309573444801933,0.039810717055349734,0.0029898778557134226,14.94938927856711,1.4949389278567111
60,59,0.125,0.125,0.1,0.06309573444801933,0.004731851738615468,23.65925869307734,2.365925869307734
61,74,0.125,0.14,0.15848931924611143,0.3981071705534973,0.0025687533862520312,12.843766931260154,1.2843766931260154
62,44,0.125,0.11,0.25118864315095807,0.01,0.0013607730247309285,6.803865123654641,0.6803865123654641
63,75,0.125,0.14,0.3981071705534973,0.6309573444801934,0.0013747530388582784,6.873765194291392,0.6873765194291394
64,37,0.125,0.095,0.6309573444801934,0.06309573444801933,0.002672831309882954,13.364156549414771,1.3364156549414772
65,53,0.125,0.11,1.0,0.6309573444801934,0.0034064317982070167,17.032158991035082,1.7032158991035082
66,67,0.14,0.14,0.01,0.015848931924611134,0.0008142608285730343,4.071304142865172,0.40713041428651714
67,66,0.14,0.14,0.015848931924611134,0.01,0.0008142608285730343,4.071304142865172,0.40713041428651714
68,67,0.14,0.14,0.025118864315095794,0.015848931924611134,0.0012916523812268013,6.458261906134007,0.6458261906134007
69,68,0.14,0.14,0.039810717055349734,0.025118864315095794,0.0020491479895703743,10.24573994785187,1.024573994785187
70,84,0.14,0.155,0.06309573444801933,0.25118864315095807,0.0015806032184396688,7.903016092198344,0.7903016092198343
71,70,0.14,0.14,0.1,0.06309573444801933,0.005145154348533872,25.72577174266936,2.572577174266936
72,85,0.14,0.155,0.15848931924611143,0.3981071705534973,0.005670264248565993,28.351321242829965,2.835132124282996
73,57,0.14,0.125,0.25118864315095807,0.025118864315095794,0.0012573770641379827,6.286885320689914,0.6286885320689913
74,86,0.14,0.155,0.3981071705534973,0.6309573444801934,0.0021949279448884597,10.974639724442296,1.0974639724442297
75,63,0.14,0.125,0.6309573444801934,0.3981071705534973,0.0013747530388582784,6.873765194291392,0.6873765194291394
76,52,0.14,0.11,1.0,0.3981071705534973,0.0036080045897223436,18.040022948611725,1.8040022948611723
77,78,0.155,0.155,0.01,0.015848931924611134,0.0008753555004167055,4.376777502083527,0.4376777502083528
78,77,0.155,0.155,0.015848931924611134,0.01,0.0008753555004167055,4.376777502083527,0.4376777502083528
79,78,0.155,0.155,0.025118864315095794,0.015848931924611134,0.0013886182935447912,6.9430914677239555,0.6943091467723955
80,79,0.155,0.155,0.039810717055349734,0.025118864315095794,0.002203276577750311,11.016382888751554,1.1016382888751555
81,95,0.155,0.17,0.06309573444801933,0.25118864315095807,0.001712175067829503,8.560875339147517,0.8560875339147515
82,119,0.155,0.2,0.1,0.6309573444801934,0.003779258085910927,18.896290429554636,1.8896290429554636
83,119,0.155,0.2,0.15848931924611143,0.6309573444801934,0.00704893939341869,35.244696967093454,3.5244696967093456
84,70,0.155,0.14,0.25118864315095807,0.06309573444801933,0.0015806032184396688,7.903016092198344,0.7903016092198343
85,120,0.155,0.2,0.3981071705534973,1.0,0.0031944150517201945,15.972075258600972,1.597207525860097
86,74,0.155,0.14,0.6309573444801934,0.3981071705534973,0.0021949279448884597,10.974639724442296,1.0974639724442297
87,51,0.155,0.11,1.0,0.25118864315095807,0.0043668452136646505,21.834226068323254,2.1834226068323255
88,89,0.17,0.17,0.01,0.015848931924611134,0.0009329593510780786,4.664796755390393,0.46647967553903935
89,88,0.17,0.17,0.015848931924611134,0.01,0.0009329593510780786,4.664796755390393,0.46647967553903935
90,89,0.17,0.17,0.025118864315095794,0.015848931924611134,0.001480129334478396,7.40064667239198,0.7400646672391981
91,90,0.17,0.17,0.039810717055349734,0.025118864315095794,0.0023487470888984272,11.743735444492136,1.1743735444492136
92,118,0.17,0.2,0.06309573444801933,0.3981071705534973,0.003537700659929191,17.68850329964595,1.768850329964595
93,106,0.17,0.185,0.1,0.25118864315095807,0.002137978446402617,10.689892232013085,1.0689892232013083
94,77,0.17,0.155,0.15848931924611143,0.01,0.00509959570745517,25.497978537275845,2.549797853727584
95,81,0.17,0.155,0.25118864315095807,0.06309573444801933,0.001712175067829503,8.560875339147517,0.8560875339147515
96,67,0.17,0.14,0.3981071705534973,0.015848931924611134,0.0020036571145561734,10.018285572780865,1.0018285572780865
97,55,0.17,0.125,0.6309573444801934,0.01,0.0030860202035625805,15.430101017812898,1.5430101017812898
98,47,0.17,0.11,1.0,0.039810717055349734,0.004414269044965945,22.071345224829724,2.207134522482972
99,100,0.185,0.185,0.01,0.015848931924611134,0.000987427063156959,4.937135315784794,0.4937135315784795
100,99,0.185,0.185,0.015848931924611134,0.01,0.000987427063156959,4.937135315784794,0.4937135315784795
101,100,0.185,0.185,0.025118864315095794,0.015848931924611134,0.0015666118411608644,7.833059205804322,0.7833059205804321
102,101,0.185,0.185,0.039810717055349734,0.025118864315095794,0.002486302392584741,12.431511962923704,1.2431511962923703
103,102,0.185,0.185,0.06309573444801933,0.039810717055349734,0.003945438523636099,19.727192618180492,1.9727192618180494
104,117,0.185,0.2,0.1,0.25118864315095807,0.0009084053626661103,4.542026813330552,0.4542026813330552
105,88,0.185,0.17,0.15848931924611143,0.01,0.002953220829959496,14.76610414979748,1.4766104149797479
106,118,0.185,0.2,0.25118864315095807,0.3981071705534973,0.0013611810024902035,6.805905012451018,0.6805905012451018
107,81,0.185,0.155,0.3981071705534973,0.06309573444801933,0.002389409889907319,11.947049449536598,1.1947049449536598
108,84,0.185,0.155,0.6309573444801934,0.25118864315095807,0.002936544428916375,14.682722144581877,1.468272214458188
109,61,0.185,0.125,1.0,0.15848931924611143,0.0054850275329348325,27.42513766467416,2.742513766467416
110,111,0.2,0.2,0.01,0.015848931924611134,0.0010389591861831714,5.1947959309158565,0.5194795930915856
111,110,0.2,0.2,0.015848931924611134,0.01,0.0010389591861831714,5.1947959309158565,0.5194795930915856
112,111,0.2,0.2,0.025118864315095794,0.015848931924611134,0.001648495265924426,8.24247632962213,0.824247632962213
113,112,0.2,0.2,0.039810717055349734,0.025118864315095794,0.002616505460239965,13.082527301199825,1.3082527301199824
114,113,0.2,0.2,0.06309573444801933,0.039810717055349734,0.004152828497516482,20.764142487582408,2.076414248758241
115,114,0.2,0.2,0.1,0.06309573444801933,0.006582192086659096,32.91096043329548,3.291096043329548
116,99,0.2,0.185,0.15848931924611143,0.01,0.0011282253082917524,5.641126541458761,0.5641126541458761
117,104,0.2,0.185,0.25118864315095807,0.1,0.0009084053626661103,4.542026813330552,0.4542026813330552
118,106,0.2,0.185,0.3981071705534973,0.25118864315095807,0.0013611810024902035,6.805905012451018,0.6805905012451018
119,82,0.2,0.155,0.6309573444801934,0.1,0.003779258085910927,18.896290429554636,1.8896290429554636
120,85,0.2,0.155,1.0,0.3981071705534973,0.0031944150517201945,15.972075258600972,1.597207525860097
