a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.08,0.01,0.015848931924611134,0.002,3.52226197719574e-05,9.093756040110073e-06,9.093756040110074e-05,0.0005284969928547462,0.017206826458915032,3.441365291783006e-05,2.6424849642737307,0.264248496427373
0.08,0.015848931924611134,0.025118864315095794,0.002,5.5827200412750244e-05,1.4409417236297233e-05,0.00014409417236297233,0.0008379931364241992,0.017195149470774503,3.4390298941549006e-05,4.189965682120995,0.4189965682120995
0.08,0.025118864315095794,0.039810717055349734,0.002,8.845329284667969e-05,2.2822686956115093e-05,0.00022822686956115092,0.0013287040296503442,0.017176652171455375,3.435330434291075e-05,6.643520148251721,0.6643520148251721
0.08,0.039810717055349734,0.06309573444801933,0.002,0.00013998523354530334,3.6100701006198615e-05,0.0003610070100619862,0.0021053187935011325,0.017147379825628865,3.429475965125773e-05,10.526593967505661,1.052659396750566
0.08,0.06309573444801933,0.1,0.002,0.00022087246179580688,5.691544711149761e-05,0.0005691544711149761,0.003328160204507712,0.017101174106465923,3.4202348212931846e-05,16.64080102253856,1.6640801022538558
0.08,0.1,0.15848931924611143,0.002,0.00034567713737487793,8.897825256335299e-05,0.0008897825256335299,0.005225190517974431,0.017028709720204767,3.405741944040953e-05,26.12595258987216,2.6125952589872163
0.08,0.15848931924611143,0.25118864315095807,0.002,0.0005302317440509796,0.00013628389281785555,0.0013628389281785554,0.008056107062171042,0.016916842311816095,3.383368462363219e-05,40.28053531085521,4.028053531085521
0.08,0.25118864315095807,0.3981071705534973,0.002,0.0007768161594867706,0.00019931388802397977,0.0019931388802397975,0.011899179846409964,0.016750220653578375,3.350044130715675e-05,59.495899232049815,5.949589923204982
0.08,0.3981071705534973,0.6309573444801934,0.002,0.001039888709783554,0.000266362693732829,0.0026636269373282897,0.016124540709738008,0.016519087180695072,3.3038174361390145e-05,80.62270354869004,8.062270354869007
0.08,0.6309573444801934,1.0,0.002,0.001214243471622467,0.0003108889172193316,0.003108889172193316,0.019152053869575587,0.016232667229137285,3.246533445827457e-05,95.76026934787795,9.576026934787796
0.095,0.01,0.015848931924611134,0.002,4.183128476142883e-05,1.0798808055022351e-05,0.00010798808055022351,0.0006069872144653258,0.017790832817680763,3.5581665635361524e-05,3.0349360723266297,0.30349360723266294
0.095,0.015848931924611134,0.025118864315095794,0.002,6.629526615142822e-05,1.7111344574543163e-05,0.0001711134457454316,0.0009625572944452512,0.017776962133360497,3.5553924266720996e-05,4.812786472226255,0.48127864722262564
