a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.095,0.11,0.3981071705534973,0.002,0.0017745904624462128,0.0004811231713746804,0.004811231713746804,0.027697254301826166,0.017370789397812565,3.474157879562513e-05,138.48627150913083,13.848627150913083
0.095,0.11,0.6309573444801934,0.002,0.0015796124935150146,0.0004312294907494929,0.004312294907494929,0.02531888367236208,0.017031931436227582,3.4063862872455164e-05,126.5944183618104,12.659441836181038
0.095,0.11,1.0,0.002,0.0013519413769245148,0.0003730128920117018,0.003730128920117018,0.022421254070503747,0.016636575761496696,3.3273151522993396e-05,112.10627035251872,11.210627035251873
0.11,0.125,0.01,0.002,0.0021857917308807373,0.0005867903689956913,0.0058679036899569135,0.03142331944398127,0.018673723189613037,3.7347446379226076e-05,157.11659721990637,15.711659721990635
0.11,0.125,0.015848931924611134,0.002,0.0021791942417621613,0.000585086469947661,0.00585086469947661,0.03135437347287622,0.018660442073696756,3.732088414739351e-05,156.77186736438114,15.677186736438115
0.11,0.125,0.025118864315095794,0.002,0.0021687261760234833,0.0005823858920599288,0.005823858920599287,0.03124488841827689,0.01863939740361686,3.7278794807233725e-05,156.22444209138442,15.622444209138443
0.11,0.125,0.039810717055349734,0.002,0.002152141183614731,0.0005781083148033942,0.005781083148033942,0.031070956674688583,0.01860606742354799,3.7212134847095975e-05,155.35478337344293,15.535478337344292
0.11,0.125,0.06309573444801933,0.002,0.0021258890628814697,0.0005713428269737482,0.005713428269737483,0.03079459357262163,0.018553348516400253,3.7106697032800504e-05,153.97296786310815,15.397296786310815
0.11,0.125,0.1,0.002,0.0020844750106334686,0.0005606767076014339,0.005606767076014338,0.030355678176171758,0.018470241526066355,3.694048305213271e-05,151.77839088085878,15.17783908808588
0.11,0.125,0.15848931924611143,0.002,0.0020196624100208282,0.0005440027330640741,0.0054400273306407405,0.02966154806623877,0.01834033516555619,3.668067033111238e-05,148.30774033119383,14.830774033119383
0.11,0.125,0.25118864315095807,0.002,0.0019202455878257751,0.0005184662418314881,0.0051846624183148815,0.02857916779525666,0.01814140445046615,3.62828089009323e-05,142.89583897628333,14.28958389762833
0.11,0.125,0.3981071705534973,0.002,0.0017745941877365112,0.0004811236843727581,0.004811236843727581,0.02695286673744255,0.017850557013454442,3.570111402690888e-05,134.76433368721277,13.476433368721276
0.11,0.125,0.6309573444801934,0.002,0.0015796124935150146,0.00043122938357224096,0.00431229383572241,0.02469527284321527,0.017462021428555144,3.492404285711029e-05,123.47636421607635,12.347636421607634
0.11,0.125,1.0,0.002,0.0013519413769245148,0.00037301309093589705,0.003730130909358971,0.021930700929905293,0.01700871723745256,3.401743447490512e-05,109.65350464952648,10.965350464952648
0.125,0.14,0.01,0.002,0.0021857991814613342,0.0005867905719116193,0.005867905719116193,0.030468596612342344,0.01925886444254278,3.851772888508556e-05,152.34298306171172,15.234298306171171
0.125,0.14,0.015848931924611134,0.002,0.002179190516471863,0.0005850863237068738,0.0058508632370687375,0.030403753773023373,0.019243884425416205,3.848776885083241e-05,152.01876886511687,15.201876886511688
0.125,0.14,0.025118864315095794,0.002,0.002168722450733185,0.0005823855801978343,0.005823855801978342,0.030300786425000205,0.019220147359519574,3.844029471903915e-05,151.50393212500103,15.150393212500102
0.125,0.14,0.039810717055349734,0.002,0.0021521374583244324,0.0005781085789274464,0.005781085789274463,0.03013720696261553,0.019182553301789904,3.836510660357981e-05,150.68603481307767,15.06860348130777
0.125,0.14,0.06309573444801933,0.002,0.0021258965134620667,0.0005713431626160427,0.005713431626160426,0.02987713589792706,0.01912309013045938,3.824618026091877e-05,149.38567948963527,14.938567948963529
0.125,0.14,0.1,0.002,0.002084478735923767,0.0005606767860189207,0.005606767860189207,0.02946378905534334,0.019029351077886583,3.805870215577317e-05,147.31894527671668,14.73189452767167
0.125,0.14,0.15848931924611143,0.002,0.0020196624100208282,0.000544002727164571,0.0054400272716457095,0.02880939162124901,0.018882825931087335,3.776565186217467e-05,144.04695810624506,14.404695810624506
0.125,0.14,0.25118864315095807,0.002,0.0019202455878257751,0.0005184658134298023,0.005184658134298022,0.027787189703605733,0.018658447254294483,3.7316894508588965e-05,138.93594851802865,13.893594851802867
0.125,0.14,0.3981071705534973,0.002,0.0017745904624462128,0.0004811231998491559,0.004811231998491559,0.026247289272586394,0.018330395754492565,3.666079150898513e-05,131.23644636293199,13.123644636293198
