state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_relative,rms_g_gap_percent,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
1,6,0.05,0.2,1.0,0.01,0.002,0.35354377824818206,35.35437782481821,0.02463747188448906,0.0065807743719612,0.065807743719612,0.3535437782481821,0.018613746802642363,3.7227493605284726e-05,1767.7188912409104,176.77188912409105
1,7,0.05,0.2,1.0,1.0,0.002,0.2169278413999458,21.69278413999458,0.013519424945116043,0.003730129456921097,0.03730129456921097,0.21692784139994578,0.017195254573358,3.4390509146716e-05,1084.639206999729,108.4639206999729
2,3,0.1,0.1,0.01,1.0,0.002,0.08253608246022727,8.253608246022727,0.005559023469686508,0.001426459996008958,0.014264599960089578,0.08253608246022728,0.01728286530556311,3.4565730611126223e-05,412.6804123011363,41.26804123011364
2,4,0.1,0.15000000000000002,0.01,0.01,0.002,0.10312802891554802,10.312802891554803,0.007285989820957184,0.00195596850768043,0.0195596850768043,0.10312802891554802,0.018966410279034625,3.793282055806925e-05,515.6401445777401,51.564014457774014
2,5,0.1,0.15000000000000002,0.01,1.0,0.002,0.010961371565318775,1.0961371565318774,0.0010525509715080261,0.0001962432119973266,0.0019624321199732658,0.010961371565318774,0.017903162102289295,3.580632420457859e-05,54.80685782659387,5.480685782659387
2,6,0.1,0.2,0.01,0.01,0.002,0.1961644295730996,19.61644295730996,0.01457197219133377,0.003911937040776928,0.03911937040776928,0.1961644295730996,0.019942132471673035,3.988426494334607e-05,980.822147865498,98.0822147865498
2,7,0.1,0.2,0.01,1.0,0.002,0.05749357205037351,5.7493572050373505,0.0034539252519607544,0.0010649902449109715,0.010649902449109716,0.05749357205037351,0.018523640242388676,3.704728048477735e-05,287.46786025186753,28.746786025186754
3,4,0.1,0.15000000000000002,1.0,0.01,0.002,0.18523068173919513,18.523068173919512,0.012845013290643692,0.0033819596018235245,0.03381959601823525,0.18523068173919513,0.01825809617536972,3.651619235073944e-05,926.1534086959756,92.61534086959756
3,5,0.1,0.15000000000000002,1.0,1.0,0.002,0.07231098436963194,7.231098436963195,0.004506472498178482,0.0012433763848667258,0.012433763848667258,0.07231098436963196,0.017194847998624394,3.438969599724879e-05,361.5549218481597,36.15549218481597
3,6,0.1,0.2,1.0,0.01,0.002,0.27752174554114806,27.752174554114806,0.02013099566102028,0.005337802846911013,0.05337802846911013,0.27752174554114806,0.019233818368008134,3.846763673601627e-05,1387.60872770574,138.760872770574
3,7,0.1,0.2,1.0,1.0,0.002,0.13958502425216707,13.958502425216707,0.009012948721647263,0.002486752731134024,0.02486752731134024,0.1395850242521671,0.017815326138723775,3.563065227744755e-05,697.9251212608352,69.79251212608354
4,5,0.15000000000000002,0.15000000000000002,0.01,1.0,0.002,0.11334068790852837,11.334068790852838,0.00833854079246521,0.002139690046064878,0.02139690046064878,0.11334068790852839,0.01887839297209591,3.7756785944191824e-05,566.7034395426418,56.67034395426418
