selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
66,2813,1.8313248695304638,0.3427313268184662
67,4213,1.825997652882626,1.0588651895523071
68,942,1.8259464562022258,0.2886699438095093
69,5056,1.8016265779388771,1.0597506761550903
70,471,1.7943839088105094,0.2523382902145386
71,3020,1.7923113893215177,1.071930170059204
72,3481,1.7691917691415926,0.31012260913848877
73,5484,1.760787986647585,1.0225343704223633
74,4434,1.7595232510523688,1.040556788444519
75,300,1.7529310393025737,1.055625081062317
76,5648,1.7524849366527981,1.0484808683395386
77,743,1.744842131626713,0.2729227840900421
78,320,1.7430106607604672,0.2712266743183136
79,1128,1.7347479011132507,0.25740525126457214
80,2403,1.731859746514054,1.0142732858657837
81,5216,1.711473518856577,1.0419930219650269
82,2433,1.7100667020437181,0.28286683559417725
83,2529,1.7086804633099186,0.26807790994644165
84,3997,1.6952912813160053,0.2539897859096527
85,5703,1.6864507996121272,1.0025583505630493
86,1036,1.6440752742681883,0.7972727417945862
87,2314,1.6348869550653888,0.9915122985839844
88,931,1.6301257426529232,0.2733106315135956
89,3371,1.628317839147937,0.9847075939178467
90,2962,1.616670390476432,0.30570149421691895
91,1393,1.6166158324062812,0.2758171558380127
92,165,1.6050656249533612,0.2540896534919739
93,4553,1.6010679249425177,0.8075123429298401
94,2021,1.5990715561161284,0.2538624405860901
95,1211,1.592111586079732,0.6635860800743103
96,993,1.5670959238608988,0.2899215519428253
97,644,1.5516976365702615,0.9275266528129578
98,2815,1.547595091140762,0.3075859248638153
99,3852,1.5448595597651915,0.32014456391334534
100,4850,1.5427451456291283,0.8812436461448669
101,1012,1.5373805308872999,0.6859853267669678
102,2478,1.5243132183359536,0.7907703518867493
103,952,1.5161142795979188,0.7119193077087402
104,4278,1.503128478273517,1.0330289602279663
105,788,1.5004503990717288,0.32853177189826965
106,3068,1.499870901374268,0.7734625339508057
107,5302,1.4978725448601484,0.5828279256820679
108,3026,1.4978103824945421,0.7631384134292603
109,5960,1.4976789491482778,0.6526675224304199
110,443,1.4809919296118363,0.6662235260009766
111,129,1.4683807417426833,0.7786470055580139
112,91,1.460983417962318,0.613924503326416
113,5626,1.4576037439432286,0.26834237575531006
114,3040,1.455581482395511,0.27586808800697327
115,4695,1.4519928826919941,1.0086580514907837
116,4833,1.445446528828819,0.38338610529899597
117,545,1.4431793992695503,0.5196646451950073
118,279,1.4414597052511986,0.3636113405227661
119,3869,1.4399884174982185,0.34639671444892883
120,4780,1.4318524991019148,0.6029801368713379
121,5532,1.425243672158789,0.2821047902107239
122,113,1.4039528946951176,0.5588956475257874
123,5882,1.4011646269205653,0.6739672422409058
124,2484,1.3985941439041343,0.4327062964439392
125,1945,1.3969092913632744,4.757879734039307
126,5741,1.3933662655592882,0.45689085125923157
127,4533,1.390513894902282,0.29256120324134827
128,1133,1.390010124206772,5.684314250946045
129,2775,1.3896852738777754,0.2749183475971222
130,5490,1.3893421711972294,0.38403695821762085
131,596,1.3879357224101978,0.26797983050346375
132,172,1.3824019002290127,0.2730821669101715
133,603,1.3795510408390657,0.29347577691078186
134,1980,1.3756702094012734,0.9998786449432373
135,3771,1.3731898524333015,0.2766369879245758
136,473,1.3611324803626241,0.2752528488636017
137,4229,1.3575281955825083,4.468106269836426
138,459,1.3494781683575152,0.2558499872684479
139,3710,1.3395187576475842,0.8903748393058777
140,1634,1.338153313556582,0.3151257634162903
141,4291,1.3027765360745498,0.9089722037315369
