state_id,candidate_id,a1,a2,a3,m,gamma,continuous_mahalanobis
48,13611,0.10684827025979758,0.025,0.0,1.9665445528365673,0.14972288073971868,1.6663531984202382
49,11648,0.1587600652128458,0.025,0.0,0.9648881574068219,0.6094053817819804,2.5366371607003213
50,26323,0.12635677270591258,0.025,0.0,1.1727970287017524,0.6762557277083397,2.688875161715367
51,12989,0.08885993231087924,0.025,0.0,1.4556991655752063,0.9239559153001755,2.160125919134037
52,46562,0.09845264367759228,0.025,0.0,0.7657076584454626,0.21903781297616662,3.5452666435087274
53,40471,0.19776855502277613,0.025,0.0,1.201819003811106,0.8136066960636527,2.0772758650555256
54,9164,0.13285340908914806,0.025,0.0,0.7310842025838792,0.20124019552022218,3.8693720931117332
55,26143,0.15218846276402476,0.025,0.0,1.1783365803677588,0.25935181152075526,4.266133158353539
56,8504,0.18079079464077952,0.025,0.0,0.9063502460438758,0.19596269606612624,4.208231494979174
57,44245,0.055779175087809565,0.025,0.0,1.1789937403611839,0.3954248887486756,2.4571389866590834
58,34323,0.13099421001970768,0.025,0.0,1.5436711515206845,0.15111406192183496,2.248174173799063
59,1659,0.11396828740835191,0.025,0.0,1.773039473304525,0.5030527420714498,2.1084758376857
60,46103,0.19832336883991958,0.025,0.0,1.731343089370057,0.7820217979792505,1.5028113723732062
61,20123,0.12075274474918843,0.025,0.0,1.4357587300240993,0.3667359473463148,3.6370808089016227
62,6061,0.08512979354709388,0.025,0.0,1.2105146592762321,0.19789142437279225,2.438061458442215
63,22432,0.15516427122056486,0.025,0.0,0.9149474098905921,0.4506318323127925,3.060818014175967
64,38027,0.10481652300804854,0.025,0.0,1.1639470370206981,0.9868423623219132,2.246534714941073
65,4525,0.08465483412146568,0.025,0.0,1.4625028527062387,0.6909091015066952,2.6467330938145834
66,24144,0.16314782667905092,0.025,0.0,0.6657431378494948,0.10069738197140395,2.5028023797829277
67,11799,0.19780389349907637,0.025,0.0,1.7833166955132038,0.5908153037447482,1.8098952152649124
68,30325,0.056265003979206085,0.025,0.0,1.568513809395954,0.26560535007156433,1.8425463006310587
69,19863,0.19864918533712628,0.025,0.0,1.445109493844211,0.3271320020314306,3.521273261065376
70,3247,0.1640041572973132,0.025,0.0,1.7303516272176056,0.4685342582594603,2.227623249105211
71,3110,0.028081331960856916,0.025,0.0,0.8808781521674246,0.37708919677883385,1.5058642409549805
72,37388,0.13548761922866107,0.025,0.0,0.9575037602242082,0.28895247080363334,4.2529904090408435
73,8765,0.09014326948672534,0.025,0.0,1.1617500287853182,0.5014757068548351,3.6324732319298616
74,11250,0.07717018816620112,0.025,0.0,0.5453710771910846,0.4242173791769892,1.6416929335860764
75,41914,0.07022417951375247,0.025,0.0,0.906590230287984,0.2288404264394194,2.636177050593292
76,17407,0.15665226746350527,0.025,0.0,1.4604850672278553,0.8789924743957818,1.8890723198926302
77,18358,0.047653402946889405,0.025,0.0,0.6670608827937394,0.1287603186722845,1.522143426692944
78,46259,0.1319484781473875,0.025,0.0,1.476890177614987,0.720993721652776,2.1800248524443346
