threshold_mahalanobis,axis,lo,hi,prebank_count,eligible_count,selected_count,eligible_fraction_of_prebank_bin,selected_fraction_of_eligible_bin
0.75,gamma,0.4342857142857143,0.5757142857142857,294,246,37,0.8367346938775511,0.15040650406504066
0.75,gamma,0.5757142857142857,0.7171428571428572,294,242,33,0.8231292517006803,0.13636363636363635
0.75,gamma,0.7171428571428572,0.8585714285714285,294,238,39,0.8095238095238095,0.1638655462184874
0.75,gamma,0.8585714285714285,1.0,294,233,40,0.7925170068027211,0.17167381974248927
1.0,a1,0.0,0.01,0,0,0,0.0,0.0
1.0,a1,0.01,0.025,115,32,4,0.2782608695652174,0.125
1.0,a1,0.025,0.05,264,139,22,0.5265151515151515,0.15827338129496402
1.0,a1,0.05,0.1,600,469,67,0.7816666666666666,0.14285714285714285
1.0,a1,0.1,0.15,543,446,79,0.8213627992633518,0.17713004484304934
1.0,a1,0.15,0.2,536,429,88,0.8003731343283582,0.20512820512820512
1.0,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
1.0,m,0.2942857142857143,0.5785714285714286,294,191,33,0.6496598639455783,0.17277486910994763
1.0,m,0.5785714285714286,0.862857142857143,294,268,43,0.9115646258503401,0.16044776119402984
1.0,m,0.862857142857143,1.1471428571428572,294,283,49,0.9625850340136054,0.17314487632508835
1.0,m,1.1471428571428572,1.4314285714285715,294,281,51,0.95578231292517,0.18149466192170818
1.0,m,1.4314285714285715,1.715714285714286,294,267,47,0.9081632653061225,0.1760299625468165
1.0,m,1.715714285714286,2.0,294,225,37,0.7653061224489796,0.16444444444444445
1.0,gamma,0.01,0.15142857142857144,294,158,31,0.5374149659863946,0.1962025316455696
1.0,gamma,0.15142857142857144,0.29285714285714287,294,233,41,0.7925170068027211,0.1759656652360515
1.0,gamma,0.29285714285714287,0.4342857142857143,294,242,41,0.8231292517006803,0.16942148760330578
1.0,gamma,0.4342857142857143,0.5757142857142857,294,235,41,0.7993197278911565,0.17446808510638298
1.0,gamma,0.5757142857142857,0.7171428571428572,294,224,34,0.7619047619047619,0.15178571428571427
1.0,gamma,0.7171428571428572,0.8585714285714285,294,215,30,0.7312925170068028,0.13953488372093023
1.0,gamma,0.8585714285714285,1.0,294,208,42,0.7074829931972789,0.20192307692307693
1.5,a1,0.0,0.01,0,0,0,0.0,0.0
1.5,a1,0.01,0.025,115,0,0,0.0,0.0
1.5,a1,0.025,0.05,264,33,9,0.125,0.2727272727272727
1.5,a1,0.05,0.1,600,377,70,0.6283333333333333,0.1856763925729443
1.5,a1,0.1,0.15,543,386,86,0.7108655616942909,0.22279792746113988
1.5,a1,0.15,0.2,536,368,95,0.6865671641791045,0.25815217391304346
1.5,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
1.5,m,0.2942857142857143,0.5785714285714286,294,73,20,0.24829931972789115,0.273972602739726
1.5,m,0.5785714285714286,0.862857142857143,294,228,50,0.7755102040816326,0.21929824561403508
1.5,m,0.862857142857143,1.1471428571428572,294,245,58,0.8333333333333334,0.23673469387755103
1.5,m,1.1471428571428572,1.4314285714285715,294,241,53,0.8197278911564626,0.21991701244813278
1.5,m,1.4314285714285715,1.715714285714286,294,239,48,0.8129251700680272,0.200836820083682
1.5,m,1.715714285714286,2.0,294,138,31,0.46938775510204084,0.2246376811594203
1.5,gamma,0.01,0.15142857142857144,294,118,30,0.4013605442176871,0.2542372881355932
1.5,gamma,0.15142857142857144,0.29285714285714287,294,205,45,0.6972789115646258,0.21951219512195122
1.5,gamma,0.29285714285714287,0.4342857142857143,294,199,50,0.6768707482993197,0.25125628140703515
1.5,gamma,0.4342857142857143,0.5757142857142857,294,179,40,0.608843537414966,0.22346368715083798
1.5,gamma,0.5757142857142857,0.7171428571428572,294,170,35,0.5782312925170068,0.20588235294117646
1.5,gamma,0.7171428571428572,0.8585714285714285,294,153,34,0.5204081632653061,0.2222222222222222
1.5,gamma,0.8585714285714285,1.0,294,140,26,0.47619047619047616,0.18571428571428572
2.0,a1,0.0,0.01,0,0,0,0.0,0.0
2.0,a1,0.01,0.025,115,0,0,0.0,0.0
2.0,a1,0.025,0.05,264,12,6,0.045454545454545456,0.5
2.0,a1,0.05,0.1,600,289,76,0.4816666666666667,0.2629757785467128
2.0,a1,0.1,0.15,543,303,96,0.5580110497237569,0.31683168316831684
2.0,a1,0.15,0.2,536,269,82,0.5018656716417911,0.3048327137546468
2.0,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
2.0,m,0.2942857142857143,0.5785714285714286,294,25,7,0.08503401360544217,0.28
2.0,m,0.5785714285714286,0.862857142857143,294,170,47,0.5782312925170068,0.27647058823529413
2.0,m,0.862857142857143,1.1471428571428572,294,216,73,0.7346938775510204,0.33796296296296297
2.0,m,1.1471428571428572,1.4314285714285715,294,212,63,0.7210884353741497,0.2971698113207547
2.0,m,1.4314285714285715,1.715714285714286,294,173,52,0.5884353741496599,0.30057803468208094
2.0,m,1.715714285714286,2.0,294,77,18,0.2619047619047619,0.23376623376623376
2.0,gamma,0.01,0.15142857142857144,294,76,23,0.2585034013605442,0.3026315789473684
2.0,gamma,0.15142857142857144,0.29285714285714287,294,166,51,0.564625850340136,0.3072289156626506
2.0,gamma,0.29285714285714287,0.4342857142857143,294,172,49,0.5850340136054422,0.28488372093023256
2.0,gamma,0.4342857142857143,0.5757142857142857,294,156,51,0.5306122448979592,0.3269230769230769
2.0,gamma,0.5757142857142857,0.7171428571428572,294,135,36,0.45918367346938777,0.26666666666666666
2.0,gamma,0.7171428571428572,0.8585714285714285,294,104,29,0.35374149659863946,0.27884615384615385
2.0,gamma,0.8585714285714285,1.0,294,64,21,0.21768707482993196,0.328125
2.5,a1,0.0,0.01,0,0,0,0.0,0.0
2.5,a1,0.01,0.025,115,0,0,0.0,0.0
2.5,a1,0.025,0.05,264,0,0,0.0,0.0
2.5,a1,0.05,0.1,600,156,74,0.26,0.47435897435897434
2.5,a1,0.1,0.15,543,204,101,0.3756906077348066,0.4950980392156863
2.5,a1,0.15,0.2,536,183,85,0.3414179104477612,0.4644808743169399
2.5,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
2.5,m,0.2942857142857143,0.5785714285714286,294,6,5,0.02040816326530612,0.8333333333333334
2.5,m,0.5785714285714286,0.862857142857143,294,104,49,0.35374149659863946,0.47115384615384615
2.5,m,0.862857142857143,1.1471428571428572,294,149,71,0.5068027210884354,0.47651006711409394
2.5,m,1.1471428571428572,1.4314285714285715,294,137,71,0.46598639455782315,0.5182481751824818
2.5,m,1.4314285714285715,1.715714285714286,294,110,50,0.3741496598639456,0.45454545454545453
2.5,m,1.715714285714286,2.0,294,37,14,0.12585034013605442,0.3783783783783784
2.5,gamma,0.01,0.15142857142857144,294,44,21,0.14965986394557823,0.4772727272727273
2.5,gamma,0.15142857142857144,0.29285714285714287,294,131,58,0.445578231292517,0.44274809160305345
2.5,gamma,0.29285714285714287,0.4342857142857143,294,141,76,0.47959183673469385,0.5390070921985816
2.5,gamma,0.4342857142857143,0.5757142857142857,294,116,55,0.3945578231292517,0.47413793103448276
2.5,gamma,0.5757142857142857,0.7171428571428572,294,79,35,0.2687074829931973,0.4430379746835443
2.5,gamma,0.7171428571428572,0.8585714285714285,294,25,11,0.08503401360544217,0.44
2.5,gamma,0.8585714285714285,1.0,294,7,4,0.023809523809523808,0.5714285714285714
3.0,a1,0.0,0.01,0,0,0,0.0,0.0
3.0,a1,0.01,0.025,115,0,0,0.0,0.0
3.0,a1,0.025,0.05,264,0,0,0.0,0.0
3.0,a1,0.05,0.1,600,67,60,0.11166666666666666,0.8955223880597015
3.0,a1,0.1,0.15,543,125,110,0.2302025782688766,0.88
3.0,a1,0.15,0.2,536,107,90,0.19962686567164178,0.8411214953271028
3.0,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
3.0,m,0.2942857142857143,0.5785714285714286,294,0,0,0.0,0.0
