state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
36310,0.14921874813735486,0.025,0.0,1.1559810161590576,0.03518007902930956,0.003650126278490081,gamma_low,0.14836878084089147,1.1600000000000001,0.022908676527677724
36311,0.08850373374298215,0.025,0.0,0.41403156816959386,0.13296182278823157,0.0021271508238075313,gamma_low,0.08693463362794593,0.42400000000000004,0.10471285480508996
36312,0.09790822239592673,0.025,0.0,0.8297634646296501,0.046676387370694294,0.0030650373733257593,gamma_high,0.09867415880582212,0.8240000000000001,0.06309573444801933
36313,0.15847331918776036,0.025,0.0,0.7877285614609718,0.1766292418775382,0.010175874032557791,gamma_low,0.15600462139136373,0.8,0.1445439770745927
36314,0.16289500459097328,0.025,0.0,1.0080777511000631,0.01712435612494473,0.006530356356576161,gamma_high,0.16461277003164543,1.0,0.039810717055349734
36315,0.07361896135844291,0.025,0.0,0.571890015900135,0.48574884599706464,0.00800409013798474,m_low,0.07780074463040663,0.52,0.6025595860743578
36316,0.06767695602029562,0.025,0.0,1.115251162648201,0.19137280654426925,0.005596475815008225,gamma_low,0.06661463203040423,1.1280000000000001,0.15848931924611134
36317,0.1946005570702255,0.025,0.0,0.4545639157295227,0.07258325694076678,0.0026937911411892513,gamma_high,0.19674255377661914,0.448,0.09120108393559097
36318,0.13394657452590764,0.025,0.0,0.9498399585485459,0.702124958865095,0.009166676865043575,m_low,0.13857688127844367,0.904,0.7943282347242817
36319,0.1107339199166745,0.025,0.0,0.6824998795986176,0.019960539223353658,0.0015077684358176882,gamma_high,0.11114101295593028,0.68,0.02754228703338166
36320,0.10684118638746441,0.025,0.0,1.1458246298134327,0.07533677810615773,0.0039027154538097074,gamma_low,0.10594875472947145,1.1520000000000001,0.057543993733715694
36321,0.13078977656550705,0.025,0.0,0.4851251818239689,0.28632784089658236,0.006998163530284748,gamma_low,0.12582928133188723,0.512,0.2187761623949553
36322,0.19087609415873885,0.025,0.0,0.9179012067615986,0.027388377812476473,0.001962241195874113,gamma_low,0.19039176461153007,0.92,0.02187761623949553
36323,0.06438845042139292,0.025,0.0,0.6505733408033848,0.78050748622192,0.003786688641779539,m_high,0.061493875141197474,0.704,0.6606934480075961
36324,0.07748884246684612,0.025,0.0,0.8118979059159755,0.1035584226651086,0.0035888548998378924,gamma_high,0.0785496322090359,0.8,0.13182567385564073
36325,0.1660381054040045,0.025,0.0,0.7698508016765118,0.03909565342705933,0.0038939542446550994,gamma_low,0.16469239490485316,0.776,0.02187761623949553
36326,0.16222063452005386,0.025,0.0,1.0276999734342098,0.37649399116669463,0.014536991077999448,a1_low,0.15667718071038786,1.064,0.3019951720402016
36327,0.1012104251421988,0.025,0.0,0.5915244512259961,0.010656750568130957,0.0028790251842698896,gamma_high,0.10227631796418901,0.5840000000000001,0.03162277660168379
36328,0.09164690384641291,0.025,0.0,0.9521835602819919,0.5046479688155869,0.00899209019680239,m_high,0.0874070360763711,1.008,0.3981071705534973
36329,0.15308855548501016,0.025,0.0,0.6160934813320637,0.014266584124457337,0.004478348720006311,gamma_high,0.15490570986620236,0.6080000000000001,0.038018939632056124
36330,0.1756748688872904,0.025,0.0,1.1863450624048708,0.1375437917698361,0.011043110457991438,gamma_low,0.17295719092709114,1.2,0.10471285480508996
