prebank_rank,state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
2295,8789,0.1734806172549725,0.025,0.0,0.4313768848776818,0.3077489776405479,0.0109324185549384,0.004061022239626381,-0.006871396315312019,continuous_direct_verified,a1_high,0.17851320637144857,0.4133905616337606,0.35293218020824335,0.005032589116476083,0.017986323243921187,1.1468183677297852
2296,18053,0.16831804816611112,0.025,0.0,0.42381619438529017,0.5508422852743361,0.017219216286722364,0.003186253416483999,-0.014032962870238364,continuous_direct_verified,a1_high,0.17332844906533382,0.4031050376394385,0.605338735090378,0.0050104008992226945,0.020711156745851667,1.098932945550651
2297,11061,0.18007084308192134,0.025,0.0,0.40368646532297137,0.5395269483353935,0.01598880750453637,0.0032867066290619418,-0.01270210087547443,continuous_direct_verified,a1_low,0.17506629731224146,0.4228250056873585,0.4901340761309785,0.0050045457696798745,0.019138540364387113,1.100774205691456
2298,9989,0.1692094405181706,0.025,0.0,0.435212429612875,0.5171388884661121,0.014800180612973479,0.0033922409426735047,-0.011407939670299974,continuous_direct_verified,a1_high,0.17421393380842543,0.4144299434044847,0.5706408756509493,0.005004493290254819,0.020782486208390294,1.1034576752553453
2299,37333,0.17223204937763514,0.025,0.0,0.4260836035013199,0.49853154284777856,0.0121650876714384,0.0033394719798480557,-0.008825615691590344,continuous_direct_verified,a1_high,0.1772789248730946,0.4061886537140238,0.5498272492385522,0.0050468754954594575,0.019894949787296112,1.1028936024744902
2300,20245,0.17603631080128257,0.025,0.0,0.41272968947887423,0.5999424102260418,0.012276108296957695,0.003340727368617553,-0.008935380928340142,continuous_direct_verified,a1_low,0.17097007757260965,0.43378928613753065,0.545041115952595,0.005066233228672917,0.02105959665865642,1.1007287205800853
2301,19909,0.16985324905253948,0.025,0.0,0.4339155301451683,0.822454587415071,0.012107289857538357,0.0029629528470801313,-0.009144337010458225,continuous_direct_verified,a1_high,0.17505466120854843,0.4083879529196336,0.8991039592377422,0.005201412156008944,0.025527577225534726,1.0931958712317185
2302,26549,0.18013377077877524,0.025,0.0,0.41126325726509094,0.6088098322702563,0.011960132777998444,0.0032864384147162705,-0.008673694363282173,continuous_direct_verified,a1_low,0.17505833346677543,0.4318972828774974,0.5547527983932652,0.005075437311999803,0.02063402561240646,1.09744346316694
2303,11925,0.17510807355865837,0.025,0.0,0.4274573832750321,0.62747303463673,0.01180563597104558,0.0031092151019875337,-0.008696420869058048,continuous_direct_verified,a1_high,0.18021089020991637,0.4060395184185875,0.6855474786309653,0.005102816651258002,0.02141786485644459,1.0925528919786283
2304,44853,0.1798352022189647,0.025,0.0,0.5684491395950317,0.014835505927187184,0.00482015643058275,0.002460071784372409,-0.002360084646210341,continuous_direct_verified,gamma_high,0.18091037428080572,0.5642245730370857,0.026622068943028914,0.0010751720618410177,0.004224566557946008,1.794483388277441
2305,19637,0.1810518347658217,0.025,0.0,0.5366933651268482,0.015196445868347837,0.004581239128358414,0.0004575539607520778,-0.004123685167606336,continuous_direct_verified,gamma_low,0.18080904951035406,0.5375733656623767,0.012589645548914563,0.0002427852554676424,0.0008800005355285023,1.2070590716239842
2306,11253,0.17808870319277048,0.025,0.0,0.5521900311112404,0.013188572289748067,0.004385292633886034,0.0035759443619867875,-0.0008093482718992463,continuous_direct_verified,gamma_high,0.17906753037781836,0.5480950236851696,0.02397118564112429,0.0009788271850478814,0.004095007426070829,1.8175724494271395
2307,6965,0.18003221200779085,0.025,0.0,0.5756290771067143,0.010236582928984089,0.004334220768157389,0.004334205697663396,-1.507049399336602e-08,continuous_direct_verified,gamma_high,0.18198432370028647,0.5680000048511048,0.031622776609510815,0.0019521116924956228,0.0076290722556094925,3.0891926367316755
2308,44117,0.1731949670240283,0.025,0.0,0.5369990982115269,0.02543875464773636,0.005047158359187681,0.0008511661764547192,-0.0041959921827329615,continuous_direct_verified,gamma_high,0.1736536897859305,0.5352455799893637,0.030526505577283633,0.000458722761902175,0.0017535182221631862,1.2000000000000002
2309,37997,0.18279413669370115,0.025,0.0,0.5365226998925209,0.01810739579659349,0.004932647261577091,0.000643807114424574,-0.004288840147152517,continuous_direct_verified,gamma_low,0.18245037052728844,0.537767854462728,0.014455066763092701,0.0003437661664127123,0.0012451545702071298,1.2526677388184795
2310,30517,0.17991571277379992,0.025,0.0,0.5452187858521939,0.024844097262956433,0.004800421273897867,0.0008655550207071885,-0.003934866253190679,continuous_direct_verified,gamma_high,0.1803781150469996,0.5435058637989495,0.029812916715547724,0.00046240227319968574,0.001712922053244359,1.2000000000000002
2311,53,0.17908468786627058,0.025,0.0,0.5282559774816036,0.02312166096736751,0.004710402817523137,0.0006917579051478827,-0.0040186449123752535,continuous_direct_verified,gamma_low,0.17870611161994618,0.5296403262489264,0.019055378215154867,0.0003785762463243969,0.0013843487673228516,1.2133929175427598
2312,28501,0.17409602622501555,0.025,0.0,0.5045019626617432,0.029049684432104508,0.004804378167044255,0.0009161511508547517,-0.003888227016189503,continuous_direct_verified,gamma_high,0.17463877340417405,0.5025150594781839,0.034859621318525415,0.0005427471791585037,0.0019869031835593187,1.2000000000000002
2313,46005,0.18032428012229507,0.025,0.0,0.5354505009949208,0.03762419557879201,0.004340326634079845,0.0010677323357609525,-0.003272594298318893,continuous_direct_verified,gamma_low,0.17973512061858665,0.5376279628957749,0.03135349631566,0.0005891595037084141,0.002177461900854105,1.2000000000000002
2314,42293,0.1794965066947043,0.025,0.0,0.5029471106827259,0.04229104997973773,0.004045728199026002,0.001123663093512415,-0.0029220651055135863,continuous_direct_verified,gamma_low,0.17881723550392986,0.5053743611847864,0.03524254164978144,0.0006792711907744331,0.002427250502060496,1.2000000000000002
2315,14197,0.17737868279218677,0.025,0.0,0.5438983999192715,0.04463146257711829,0.004040703656961315,0.0012609696892197392,-0.0027797339677415756,continuous_direct_verified,gamma_low,0.17669320857241183,0.5465085165311946,0.0371928854809319,0.0006854742197749397,0.002610116611923119,1.2000000000000002
2316,17173,0.17613457744009797,0.025,0.0,0.5728445813059807,0.06628213240410093,0.005709546367626294,0.0019060590061991854,-0.003803487361427109,continuous_direct_verified,gamma_low,0.1751344816358897,0.576853125246302,0.05523511033675076,0.001000095804208262,0.004008543940321241,1.2000000000000002
2317,31733,0.17802740549668672,0.025,0.0,0.5397884972393513,0.06851997611823393,0.00531729131532786,0.0018763744392637394,-0.003440916876064121,continuous_direct_verified,gamma_low,0.17695675442089834,0.5438863056613733,0.05709998009852827,0.0010706510757883814,0.004097808422022009,1.2000000000000002
