state_id,split,a1,m,gamma,sigma_max_3p,sigma_mid_3p,sigma_min_3p,condition_3p,sigma_min_2p_a1_gamma,condition_2p_a1_gamma,cos_a1_m,cos_a1_loggamma,cos_m_loggamma,null_a1_tol_units,null_m_tol_units,null_loggamma_tol_units,null_da1_actual,null_dm_actual,null_dloggamma_actual,null_gamma_factor_signed
12749,train,0.18759068902581932,0.5714981004595756,0.916074775921282,8.064965537933055,0.25131913648941273,0.002528967899604854,3189.0343642531757,0.17019436771700014,47.384896175218906,-0.32136691345914475,-0.9984984964227621,0.37274749739245105,0.6634265350762057,-0.6771365622735096,0.31835720282285607,0.003317132675381029,-0.020314096868205286,0.058043380835231875,1.0597609680290607
14906,train,0.1699593312572688,0.8280481867492199,0.07210129320771788,4.746041653914479,0.19873907102341348,0.0029166415389713096,1627.228300255366,0.032475531869789,145.6344928063323,-0.8943371723413008,-0.9994933866444046,0.9080646253458885,0.20496186104039335,-0.16219974678561455,0.9652366951486773,0.0010248093052019668,-0.004865992403568436,0.1759834569341586,1.1924183322325215
46202,train,0.16754679097793998,1.0037445284426212,0.07502543581047115,4.716443252073124,0.1880070575223339,0.003522893490536062,1338.7981398652632,0.03154554746542685,148.9906334278501,-0.9033227604174984,-0.9995290190400954,0.9159770326486397,0.20764477057128639,-0.16618712991736662,0.9639841736793329,0.001038223852856432,-0.004985613897520998,0.17575509526994987,1.1921460606871148
24822,train,0.14531126259826127,0.8094395063817501,0.36069333781315344,6.028730963299434,0.1947625499215956,0.004868962623371824,1238.1961887241712,0.12137970492987629,49.61860002890804,-0.860712686806149,-0.9991868797330541,0.8805133578780604,0.522804596339873,-0.6222879169579517,0.5826088760515372,0.0026140229816993647,-0.01866863750873855,0.1062221572836924,1.112068903272947
36395,train,0.08308367901481689,0.4146662846207619,0.4966603663261546,5.708920960483628,0.15731627915269436,0.0019206329549566231,2972.416434775046,0.10498387165159996,54.15920983292298,0.9776209296150804,-0.9992535007310698,-0.9687667035862519,0.4904320793244594,-0.6645833742757891,0.5637422409272643,0.002452160396622297,-0.01993750122827367,0.10278236299637146,1.1082501865776109
6231,train,0.08944407934322954,0.740840470790863,0.07368031474177553,5.489772177333522,0.12630448423217858,0.0016923418224417132,3243.8908644430185,0.0212663996435258,257.89896699367347,-0.8861345654492635,-0.9994938942166225,0.900380288347375,0.11377747115088081,-0.167696478282088,0.9792510292209528,0.000568887355754404,-0.00503089434846264,0.1785385721396464,1.1954689941811614
17193,train,0.14868566384539011,0.5907223545014858,0.3021281722008571,5.891352173874269,0.20580782885926024,0.003956565207164484,1489.0067180508752,0.10698024498325161,55.063576390214756,-0.427583063826696,-0.9993275827226298,0.46040998375433495,0.5548131931222449,-0.5194906825619127,0.649855177304033,0.0027740659656112243,-0.01558472047685738,0.11848260761668268,1.1257872938075641
29619,train,0.05053424420766533,0.589269719272852,0.208131621732945,5.752574934213343,0.08513226218922425,0.0017490888667479924,3288.898033470915,0.03903653722243793,147.35394528732388,-0.660322860192575,-0.9994259509124174,0.6853538552499853,0.1765977328552878,-0.4581452376301516,0.8711579546713581,0.000882988664276439,-0.013744357128904547,0.15883087450911934,1.1721396912155062
1418,train,0.17660091328434646,1.0784891329705715,0.1949514673865403,5.1370879026887435,0.1910223525210562,0.006729802655921338,763.3341073038425,0.07924139286926263,64.63472615570336,-0.9112519390411334,-0.9994249310500356,0.924635020606942,0.46784687539550784,-0.412350675341828,0.7817200405054222,0.0023392343769775394,-0.01237052026025484,0.14252441476198183,1.1531812352590587
45021,train,0.19436580077745025,0.47302932962775235,0.11661931810990268,4.9163163527392415,0.2391216545778037,0.0026835222266270295,1832.0386184833856,0.054785070771443095,89.70408316415875,-0.4982282664150379,-0.999600177235913,0.5225140795053662,0.42127645073401726,-0.22876188079891757,0.8776070612468259,0.002106382253670086,-0.0068628564239675265,0.16000668565988874,1.1735187167125962
