stage,domain,anchor_id,true_a1,true_m,true_gamma,grid_margin,continuous_margin,trigger,alias_a1,alias_m,alias_gamma
2p,development,17,0.19739119745790962,0.8,0.9912529452517629,0.1901325578566917,0.1901325578566917,a1_low,0.1923911974579096,0.8,0.92
2p,development,18,0.14832264669239523,0.8,0.1942293581366539,0.10830815000980237,0.1025112991752142,gamma_low,0.14515221883130816,0.8,0.16185779844721157
2p,development,19,0.1039068511221558,0.8,0.6411008416954428,0.2099088079991606,0.20990880799916056,a1_low,0.09880916769255674,0.8,0.54
2p,development,20,0.11097592250443997,0.8,0.12866274887695908,0.07078562928530349,0.05317936214838715,gamma_low,0.10939286950072288,0.8,0.10721895739746592
2p,development,21,0.13663946054875853,0.8,0.5755345532950014,0.1969067583773458,0.19690675837734664,a1_high,0.14168626620307972,0.8,0.65
2p,development,22,0.1716477643698454,0.8,0.2580185832362622,0.17047448766131038,0.15290215173837587,gamma_low,0.16687630786903157,0.8,0.21501548603021853
2p,development,23,0.0806545285973698,0.8,0.8015697229467332,0.21211441651849355,0.19985203319670183,gamma_low,0.076105527856577,0.8,0.6679747691222777
2p,development,24,0.07015602025203407,0.8,0.2499052264355123,0.08730730833141065,0.07306062992404568,gamma_low,0.06826073840746802,0.8,0.20825435536292689
2p,development,25,0.1775418139062822,0.8,0.7007041710894555,0.19718225772127418,0.18821103990691163,a1_low,0.1725418139062822,0.8,0.6392610991910345
2p,development,26,0.12846582448109986,0.8,0.3832488839980215,0.1890552291475261,0.18905522914752593,a1_high,0.13355957032292776,0.8,0.45
2p,development,27,0.12391895535402002,0.8,0.9229937330819666,0.2209396983612975,0.21198634684942427,a1_low,0.11884462507764294,0.8,0.8144668470613273
2p,development,28,0.09348559486679733,0.8,0.3253110907319933,0.12248240277287994,0.12008757197759214,gamma_low,0.09032086649423518,0.8,0.27109257560999445
2p,development,29,0.15428478410467505,0.8,0.8650553755462169,0.19961911258568213,0.19961911258568196,a1_high,0.15928478410467506,0.8,0.9500000000000001
2p,development,30,0.18929594894871116,0.8,0.06809247139841318,0.06294970570195799,0.039679874288061766,gamma_low,0.18787838300605597,0.8,0.056743726165344316
2p,development,31,0.06316248434595764,0.8,0.5188920393306762,0.12980688718258843,0.12627433919576064,gamma_low,0.06021022188904749,0.8,0.4324100327755635
2p,full,0,0.03738024737685919,0.8,0.9851483508571982,0.10677728794698894,0.10613456797046371,gamma_low,0.035151301189742,0.8,0.8209569590476652
2p,full,1,0.10735834538936616,0.8,0.3808224283065647,0.17293409941667107,0.15510750903064824,gamma_low,0.10325434303002418,0.8,0.317352023588804
2p,full,2,0.18043240252882242,0.8,0.7511071711871773,0.19845534379584195,0.18966289085693627,a1_high,0.18543240252882243,0.8,0.8166139476422726
2p,full,3,0.0502196591347456,0.8,0.11986220283433795,0.03779785862029114,0.02543661354712003,gamma_low,0.04955244908752206,0.8,0.09988516902861494
2p,full,4,0.07690282724797726,0.8,0.5059387106262148,0.15017721669553366,0.14734629875125296,gamma_low,0.07335958328723957,0.8,0.4216155921885123
2p,full,5,0.1537976274266839,0.8,0.14905729048885405,0.09269673007192018,0.07942913257872038,gamma_low,0.15125747309093016,0.8,0.1242144087407117
2p,full,6,0.13379917293787003,0.8,0.7668387325759977,0.20228967043900803,0.20210113079457565,a1_low,0.12879917293787002,0.8,0.6800801782202328
2p,full,7,0.010890919528901578,0.8,0.38315870318561795,0.021852332728237986,0.019093936129264435,gamma_low,0.010472721464279841,0.8,0.3192989193213483
2p,full,8,0.01883772071450949,0.8,0.6343946767691523,0.05015859676797465,0.04631047004988643,gamma_low,0.01786421779288272,0.8,0.5286622306409603
2p,full,9,0.14897253662347795,0.8,0.020615958478301763,0.02687018969864774,0.011755129166115241,gamma_high,0.14937278393859676,0.8,0.02473915017396212
2p,full,10,0.16342899892479182,0.8,0.8878326465561986,0.19703194803758145,0.1970319480375813,a1_high,0.16842899892479182,0.8,0.97
2p,full,11,0.09337013624608517,0.8,0.26218036747537554,0.11599815471208094,0.09738591541729569,gamma_low,0.09073754194954652,0.8,0.21848363956281297
2p,full,12,0.0669310610741377,0.8,0.8661491045262665,0.17679458442836032,0.17456103678650983,gamma_low,0.06306867398986893,0.8,0.7217909204385554
