stage,domain,anchor_id,a1,m,gamma,sigma_min,condition,abs_cos_a1_loggamma,abs_cos_a1_m,abs_cos_m_loggamma
2p,development,71,0.07801704932935537,0.8,0.8317739009670914,1.5224993083139406,35.06091191341321,0.9983686015685604,,
2p,development,72,0.08392876065336169,0.8,0.1599541492573917,0.5640597527360981,97.88872324648112,0.9994046828831651,,
2p,development,73,0.163768304605037,0.8,0.668700953675434,1.6748360161293037,45.38218779619171,0.9986156863081185,,
2p,development,74,0.14282477172091607,0.8,0.475207197656855,1.501859259493867,45.53695000770865,0.9989363213612386,,
2p,development,75,0.10956034786067904,0.8,0.956883337367326,1.7216172085969172,35.05725924202364,0.9982078515010773,,
2p,development,76,0.09787945500575007,0.8,0.2933829912636429,1.038969132849207,54.95861231016269,0.9992240351865249,,
2p,development,77,0.1498915498144925,0.8,0.7750595108419657,1.727078300026303,41.99684769870529,0.998450435109345,,
2p,development,78,0.19427490727975966,0.8,0.10199759494513273,0.6182875254071378,78.58106649493709,0.9994728682775644,,
2p,development,79,0.05818304321728647,0.8,0.6107440785039217,1.1892794834153175,43.560285473842676,0.9987103769042905,,
2p,development,80,0.052389157284051184,0.8,0.10627780390903353,0.25474284593947283,229.70073799712526,0.9994680457067608,,
2p,development,81,0.19992279163561766,0.8,0.5841470610629768,1.6009349388153904,52.13619262310304,0.9987544955079253,,
2p,development,82,0.1458732356783003,0.8,0.2822748088743538,1.1838230576339082,51.33346898322709,0.9992402630630759,,
2p,development,83,0.10175065891817213,0.8,0.7949493454582989,1.6463442794081122,36.24856198725164,0.9984211680720672,,
2p,development,84,0.11343402387574317,0.8,0.47171618075110017,1.4326821867898372,43.61359281573882,0.9989421130354764,,
2p,development,85,0.1388042715843767,0.8,0.9843901530653238,1.7772291102559197,38.38426391236482,0.998176564718449,,
2p,development,86,0.1694186521228403,0.8,0.17208588372915984,0.8959227325618973,60.59911019422864,0.9993896101861496,,
2p,development,87,0.07813269766047598,0.8,0.6499557641614229,1.4232646043273043,38.78414506759295,0.9986460436141436,,
2p,development,88,0.07238516826182605,0.8,0.3493860419560224,0.9905852718107432,56.18171624335391,0.9991393933334953,,
2p,development,89,0.18006360908038915,0.8,0.8581328740343451,1.7490016464720894,45.863346537974145,0.9983323544387771,,
2p,development,90,0.12600775887258353,0.8,0.04600965045392513,0.2151334579991391,239.62497146386798,0.9995329807830238,,
2p,development,91,0.12175410855561496,0.8,0.527685821512714,1.5217381040289555,42.621293941632025,0.9988487972272755,,
2p,development,92,0.09593504164367915,0.8,0.22758047761395575,0.8468909006501252,65.79674494699606,0.9993171352116499,,
2p,development,93,0.15644094054587188,0.8,0.709256969531998,1.6974990931632066,43.76746872028164,0.9985511255611372,,
2p,development,94,0.187057037698105,0.8,0.40756576309911907,1.4397839839114042,51.4364342572458,0.9990472340365703,,
2p,development,95,0.060630854405462745,0.8,0.9163122153095901,1.3743943569861345,35.26586435452972,0.9982567549741185,,
2p,full,0,0.03738024737685919,0.8,0.9851483508571982,1.010040958483895,42.99054775285542,0.9981757241515319,,
2p,full,1,0.10735834538936616,0.8,0.3808224283065647,1.2707421067513955,47.1609216868221,0.9990900575524685,,
2p,full,2,0.18043240252882242,0.8,0.7511071711871773,1.7106233966559878,47.05127924706392,0.9984864341662484,,
2p,full,3,0.0502196591347456,0.8,0.11986220283433795,0.2784915775403724,209.80467190648292,0.9994525177557626,,
2p,full,4,0.07690282724797726,0.8,0.5059387106262148,1.2742223371277805,43.87691967709807,0.9988851444599517,,
2p,full,5,0.1537976274266839,0.8,0.14905729048885405,0.7676345922381868,68.71648467278126,0.9994179837922091,,
2p,full,6,0.13379917293787003,0.8,0.7668387325759977,1.7120361335245609,39.89267752074513,0.9984627003267141,,
2p,full,7,0.010890919528901578,0.8,0.38315870318561795,0.20897722525759052,258.763246872524,0.9990863457171303,,
2p,full,8,0.01883772071450949,0.8,0.6343946767691523,0.4883240278747133,97.25105606862158,0.9986714527962216,,
2p,full,9,0.14897253662347795,0.8,0.020615958478301763,0.10651246741451524,464.6139314521735,0.9995585390880364,,
2p,full,10,0.16342899892479182,0.8,0.8878326465561986,1.7644146042643019,42.87421505638386,0.9982929809105685,,
2p,full,11,0.09337013624608517,0.8,0.26218036747537554,0.9328393556025409,60.314833118280134,0.9992691046386765,,
2p,full,12,0.0669310610741377,0.8,0.8661491045262665,1.432153680370408,35.213167840417896,0.9983215708103272,,
2p,full,13,0.18991724196821452,0.8,0.4998070405051112,1.538712103330616,51.25213755926006,0.9988953779879677,,
2p,full,14,0.12228752076625825,0.8,0.6245241969637573,1.609225257170609,40.73588813383046,0.9986876564499743,,
2p,full,15,0.04547348525375128,0.8,0.2464295987877995,0.5262085085925873,106.58130932543514,0.9992912312703945,,
2p,full,16,0.039005095884203915,0.8,0.5799001836590469,0.8761775201775301,56.765840502496346,0.9987615660329077,,
2p,full,17,0.11825824026018382,0.8,0.19788092360831797,0.8497829067189353,64.94562989222489,0.9993566375225905,,
2p,full,18,0.19434170722961427,0.8,0.8175950005557389,1.7253422642822205,48.69714228897694,0.9983885836899803,,
2p,full,19,0.07378550376743079,0.8,0.45518373530358075,1.1811130081484449,47.08818964416435,0.9989694598550641,,
2p,full,20,0.09715106841176749,0.8,0.9353568144515156,1.6708390283885177,34.23535616998731,0.9982333962365492,,
2p,full,21,0.17102540582418443,0.8,0.30589529431425033,1.273325596032698,51.05694857185389,0.9992055230604422,,
2p,full,22,0.14176829848438502,0.8,0.6781145603302866,1.6735463345548436,42.127078538277445,0.9986005564831886,,
2p,full,23,0.015445881709456445,0.8,0.06813989033922553,0.05179763323131988,1254.4217489410512,0.9995098635852773,,
2p,full,24,0.004813533648848534,0.8,0.8066906025167555,0.1439326486856726,308.12511761905347,0.9984041729931299,,
2p,full,25,0.12547188792377711,0.8,0.4345468721166253,1.4178251695737827,45.18172618935217,0.9990033712230348,,
2p,full,26,0.1617358312010765,0.8,0.5573332524858415,1.595525416273376,46.539564413050016,0.9987992198523449,,
2p,full,27,0.08258805628865958,0.8,0.18890561991371216,0.6524459200808137,84.86988236767704,0.9993682524496861,,
2p,full,28,0.05907605495303869,0.8,0.6986871779058129,1.2635215286026644,40.24440661926359,0.9985677892302359,,
2p,full,29,0.1852963209152222,0.8,0.07910856349393725,0.4770657991469762,99.89380021776103,0.9994980990564464,,
2p,full,30,0.10210836175829173,0.8,0.9443888106569648,1.6936182677376201,34.50883635438596,0.9982225663301705,,
2p,full,31,0.028128654882311824,0.8,0.3284055034723133,0.4484305212176192,122.12060954065761,0.999171626761214,,
2p,full,32,0.027822854556143285,0.8,0.7329427009634674,0.7358112702874321,62.59562770949184,0.9985142473250932,,
2p,full,33,0.10404990427196026,0.8,0.10755888150073588,0.4457095715606127,120.39505473260348,0.9994665958084056,,
2p,full,34,0.18335011806339027,0.8,0.9747772070672363,1.770783711032957,45.431762934954975,0.9981873239761206,,
2p,full,35,0.05938651561737061,0.8,0.3607229481264949,0.889381983403597,61.46927754366749,0.9991217375905842,,
2p,full,36,0.08607092946767808,0.8,0.7792024197056889,1.5581826890211457,35.84877758752189,0.9984442907838293,,
2p,full,37,0.15671487208455803,0.8,0.4012628076132387,1.4211204390907437,48.18760824535154,0.9990573901975045,,
2p,full,38,0.1304914053529501,0.8,0.5259778250101954,1.5385550445217904,43.37969372394832,0.998851653767329,,
2p,full,39,0.001332102157175541,0.8,0.15948880007490515,0.011351510688096669,5588.0665588706215,0.9994052554906911,,
2p,full,40,0.01589511428028345,0.8,0.9059211727138609,0.4734493640354265,90.01803509351143,0.9982697947563275,,
2p,full,41,0.139780979976058,0.8,0.2745284763351083,1.1506315664035764,51.95724158009927,0.999251461086545,,
2p,full,42,0.17301128264516594,0.8,0.6448115522228182,1.6581217804910275,47.10521674860026,0.9986544238228872,,
2p,full,43,0.09670327752828599,0.8,0.040640438729897144,0.15503725681009756,352.7581187140711,0.9995384686988565,,
2p,full,44,0.0702629566192627,0.8,0.6122364539001137,1.3238239944369008,40.74825371921468,0.9987079111890602,,
2p,full,45,0.19949999656528236,0.8,0.22828070683404805,1.1184253097804102,54.287133978258204,0.9993161843227356,,
2p,full,46,0.11309529058635236,0.8,0.8460642584785819,1.703752192032004,36.547877136012026,0.9983488022555036,,
2p,full,47,0.042532303370535374,0.8,0.48945053084753454,0.8530335626947383,60.53077264993806,0.9989126400628074,,
2p,full,48,0.04817214906215668,0.8,0.8357614162191749,1.1719038180974295,40.17109413649582,0.9983630420932584,,
2p,full,49,0.12117577102035285,0.8,0.4674888877477497,1.4508022261391404,44.05636384036049,0.9989491187193028,,
2p,full,50,0.19103346280753614,0.8,0.5902693820092827,1.612013803006063,50.60923356787566,0.9987443136784006,,
2p,full,51,0.06422792617231608,0.8,0.21797857267782092,0.6192434351701674,90.2020450743871,0.9993300841927862,,
2p,full,52,0.08759243581444026,0.8,0.6657489240728319,1.5019444513816,38.066106823692905,0.9986204473423494,,
2p,full,53,0.16771744154393675,0.8,0.050033958489075304,0.2852728161605045,167.9899212235132,0.9995288370966219,,
2p,full,54,0.14468572791665793,0.8,0.9153196491952985,1.7688948706763854,39.78320726372001,0.9982579916304147,,
2p,full,55,0.0246137872338295,0.8,0.2954656121507287,0.361945797419466,154.3036433597309,0.9992209708220557,,
2p,full,56,0.008146478235721588,0.8,0.5392428989056498,0.20058914893502927,248.66464834830032,0.9988294663535179,,
2p,full,57,0.13505435641855001,0.8,0.17655556192621588,0.8288506520457578,65.58507834915245,0.9993839867278219,,
2p,full,58,0.15254407785832882,0.8,0.796275554485619,1.73623007525724,42.14100082173288,0.9984192377488688,,
2p,full,59,0.07964563462883234,0.8,0.41452434099279345,1.166833364154479,48.389736000778505,0.99903597953986,,
2p,full,60,0.056134688295423986,0.8,0.9566783848311752,1.324874791152144,35.51703131651915,0.9982080903579095,,
2p,full,61,0.17610428743064405,0.8,0.34655634086579085,1.3503340078488981,50.742985772458034,0.9991437748585018,,
