row_i,row_j,g_relative_difference,f_relative_difference,m_difference,gamma_difference,width_i,width_j,a1_i,a1_j
9449,9758,0.008561627008020878,3.0854432582855225,1.5241811275482178,0.4505864679813385,0.19244226813316345,0.013567730784416199,0.17832069098949432,0.14735047519207
2544,4416,0.0023938638623803854,3.080301523208618,1.2576630115509033,0.542767345905304,1.0710723400115967,0.03552419692277908,0.15814444422721863,0.14370648562908173
1717,9355,0.05991896241903305,3.071096420288086,0.22290822863578796,0.43102312088012695,0.22292649745941162,0.017542662099003792,0.1621103286743164,0.14538708329200745
6993,8278,0.016682706773281097,3.0706372261047363,0.3730432987213135,0.192977637052536,0.15649926662445068,0.012164042331278324,0.1375095695257187,0.09719902276992798
1629,5853,0.005496789235621691,3.0505332946777344,0.12620551884174347,0.28628021478652954,0.014278204180300236,0.0028002960607409477,0.06354082375764847,0.07302649319171906
340,5853,0.006246552802622318,3.0463497638702393,0.5096247792243958,0.7678003311157227,0.535469651222229,0.0028002960607409477,0.09185522049665451,0.07302649319171906
7620,4416,0.009299317374825478,3.0432331562042236,0.925460696220398,0.3006141185760498,0.5564272999763489,0.03552419692277908,0.12550953030586243,0.14370648562908173
1338,8990,0.0398707240819931,3.0179660320281982,0.34545281529426575,0.1598486453294754,0.12858708202838898,0.014580205082893372,0.1944635957479477,0.15238921344280243
4672,7203,0.0019262601854279637,3.017151355743408,0.31388425827026367,0.8636847734451294,1.2551769018173218,0.007314600981771946,0.06608239561319351,0.0878666415810585
3116,6684,0.01913427747786045,3.01275634765625,1.2208709716796875,0.18435285985469818,0.38268065452575684,0.015566236339509487,0.18030934035778046,0.1175665557384491
5972,7203,0.010012569837272167,3.010709762573242,1.437010645866394,0.04747530817985535,0.01668688654899597,0.007314600981771946,0.00449731107801199,0.0878666415810585
978,8990,0.04000446945428848,2.9907119274139404,0.06900277733802795,0.5522763133049011,0.1850856989622116,0.014580205082893372,0.18724849820137024,0.15238921344280243
7544,4416,0.003427695482969284,2.9822428226470947,0.6456114053726196,0.3742828369140625,0.4748099744319916,0.03552419692277908,0.1103912740945816,0.14370648562908173
3307,4416,0.03204083442687988,2.977159261703491,1.1359150409698486,0.405240535736084,0.7999743223190308,0.03552419692277908,0.11513491719961166,0.14370648562908173
7277,6684,0.018244178965687752,2.975781202316284,0.7448511123657227,0.28709274530410767,0.3461621105670929,0.015566236339509487,0.19326676428318024,0.1175665557384491
2454,7203,0.00550500862300396,2.9685685634613037,0.1894545555114746,0.3178386390209198,0.6277796030044556,0.007314600981771946,0.08749952912330627,0.0878666415810585
853,7203,0.009782636538147926,2.9578678607940674,3.7550926208496094e-05,0.9257868528366089,1.6369256973266602,0.007314600981771946,0.00529113644734025,0.0878666415810585
2712,6140,0.07957519590854645,2.952119827270508,0.44242748618125916,0.45069342851638794,0.1526094675064087,0.006513107102364302,0.13454408943653107,0.13251996040344238
6024,7203,0.012764369137585163,2.9456465244293213,0.13227248191833496,0.7681763768196106,1.4616219997406006,0.007314600981771946,0.14011535048484802,0.0878666415810585
5141,8278,0.025919819250702858,2.9449667930603027,0.8705765008926392,0.12508058547973633,0.19385331869125366,0.012164042331278324,0.18278975784778595,0.09719902276992798
6810,6684,0.007502553053200245,2.939101457595825,0.2161800116300583,0.02177560329437256,0.02663181722164154,0.015566236339509487,0.04863106459379196,0.1175665557384491
159,6140,0.0010653773788362741,2.926395893096924,0.2506943941116333,0.4211758077144623,0.22516250610351562,0.006513107102364302,0.15151019394397736,0.13251996040344238
4156,7203,0.008556094951927662,2.9194376468658447,0.9804730415344238,0.867757260799408,0.6798597574234009,0.007314600981771946,0.19996997714042664,0.0878666415810585
1477,7203,0.005916223395615816,2.89795184135437,1.3502401113510132,0.6208261251449585,0.25622159242630005,0.007314600981771946,0.09718954563140869,0.0878666415810585
6182,7203,0.003147150157019496,2.887763023376465,1.5836427211761475,0.5051241517066956,0.08992047607898712,0.007314600981771946,0.052586838603019714,0.0878666415810585
