state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
64,0.05059172958135605,0.8058421611785889,169,0.055647943168878555,0.9800539612770081,1.3575281955825083,4.111783924006646e-05,train,16223,7.908329486846924,0.05000000074505806,0.4027170240879059
65,0.1954885572195053,0.9495109915733337,168,0.17273905873298645,0.6606934666633606,1.4867326940664638,5.5278854469971065e-05,train,15621,1.0260894298553467,0.16548855602741241,0.543250322341919
66,0.18411965668201447,0.9885531067848206,121,0.13847716152668,0.3226636052131653,1.6211652120410307,5.926225637063452e-05,train,12070,1.0449442863464355,0.15411965548992157,0.547961413860321
67,0.17272420227527618,0.9942600727081299,134,0.15577548742294312,0.7563973665237427,1.6895958259801895,6.069187189745102e-05,train,3884,1.060621738433838,0.1427242010831833,0.5248074531555176
68,0.19664715230464935,0.8198794722557068,128,0.1469143033027649,0.19386526942253113,1.6484255765103906,6.224527594183015e-05,train,10983,1.0086393356323242,0.16664715111255646,0.4428432285785675
69,0.16828328371047974,0.9971259236335754,132,0.1240399107336998,0.2925836145877838,1.5680251358239898,5.606456734991089e-05,train,8725,1.0674971342086792,0.13828328251838684,0.515822172164917
70,0.12257533520460129,0.010174193419516087,147,0.15970702469348907,0.5217950940132141,1.4910517778082277,5.5080773911625216e-05,train,15569,0.01863071136176586,0.12319678068161011,0.020358698442578316
71,0.14534467458724976,0.014833717606961727,144,0.1982283741235733,0.6419482231140137,1.6694000624981553,6.446162384878115e-05,train,16452,0.031039463356137276,0.14642375707626343,0.029682466760277748
72,0.1930115967988968,0.9660508632659912,168,0.17273905873298645,0.6606934666633606,1.3316183270067468,4.939340585880662e-05,train,5764,1.0310558080673218,0.1630115956068039,0.5511248707771301
73,0.18519768118858337,0.9549925923347473,95,0.14906984567642212,0.41927599906921387,1.819290704846925,6.685986724166218e-05,train,14703,1.040556788444519,0.15519767999649048,0.5248074531555176
74,0.08527872711420059,0.01722859963774681,167,0.08505692332983017,0.04027170315384865,1.3351869679266053,4.5411813936429726e-05,train,15103,0.024074425920844078,0.08601570874452591,0.03447465971112251
75,0.13114069402217865,0.02607654221355915,156,0.16377557814121246,0.4466835856437683,1.5082682194267667,5.6589790702001165e-05,train,6309,0.025104593485593796,0.13029229640960693,0.013031668029725552
76,0.14128363132476807,0.9942600727081299,141,0.09961265325546265,0.213181734085083,1.554854284715592,5.355064006477435e-05,train,4738,0.9610647559165955,0.11525798588991165,0.4968782663345337
77,0.19788148999214172,0.7943282127380371,94,0.14862091839313507,0.16836430132389069,2.0117803498893636,7.638799969275452e-05,train,17672,1.0037286281585693,0.16788148880004883,0.42413097620010376
78,0.10354647785425186,0.015135612338781357,146,0.1196637749671936,0.27305492758750916,1.480234826812919,5.2539536010260624e-05,train,9872,0.024591635912656784,0.1043311059474945,0.03028656356036663
79,0.11641860753297806,0.9660508632659912,151,0.07529786974191666,0.016884958371520042,1.5295281760545085,5.094545566749731e-05,train,15063,0.8075123429298401,0.09527938812971115,0.4827808141708374
80,0.15150988101959229,1.0,104,0.13879606127738953,0.8081649541854858,1.8016733548741697,6.283622191096941e-05,train,12590,1.019312858581543,0.12352149188518524,0.49974676966667175
81,0.15898416936397552,0.9828788638114929,91,0.1416463851928711,0.7223538756370544,1.8334011951632152,6.468704139844595e-05,train,679,1.048377513885498,0.1298644244670868,0.4911905527114868
82,0.11386843770742416,0.012267328798770905,135,0.14006054401397705,0.39582207798957825,1.5890346997760119,5.766144609874775e-05,train,9579,0.02133237197995186,0.1145658940076828,0.024547088891267776
83,0.13911354541778564,0.013031668029725552,94,0.14862091839313507,0.16836430132389069,1.8272538188859455,6.95727772923922e-05,train,4239,0.026335252448916435,0.14001938700675964,0.02607654221355915
84,0.17364369332790375,0.9577452540397644,17,0.17337214946746826,0.906775951385498,2.0162341805443718,7.299741357763727e-05,train,3128,1.0561494827270508,0.14364369213581085,0.49974676966667175
85,0.10635624825954437,1.0,152,0.06801764667034149,0.020067811012268066,1.4493443677757079,4.7470121346795e-05,train,10023,0.7631384134292603,0.08670908212661743,0.49974676966667175
86,0.196960911154747,0.7099863290786743,113,0.19395548105239868,0.6456542015075684,1.6980333738641895,6.504370756034088e-05,train,11959,0.9860774874687195,0.1670808345079422,0.3548133969306946
87,0.0945165753364563,0.0218147374689579,130,0.0980086699128151,0.12338148802518845,1.5708607748862038,5.4483906051652745e-05,train,199,0.016286050900816917,0.0940055325627327,0.010901845060288906
88,0.19811013340950012,0.5591135025024414,138,0.15095281600952148,0.010901845060288906,1.518039915628572,5.926444966328488e-05,train,16880,0.8087531328201294,0.17277583479881287,0.27941519021987915
89,0.17693763971328735,0.9199198484420776,135,0.14006054401397705,0.39582207798957825,1.5526499010693076,5.647883372692811e-05,train,18772,1.0484808683395386,0.14693763852119446,0.47863009572029114
90,0.08801762759685516,1.0,26,0.05540342256426811,0.028757425025105476,1.8432288299943718,5.8662831450359796e-05,train,12184,0.6490883827209473,0.07175815105438232,0.49974676966667175
