selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
73,14703,2.187804929347028,1.040556788444519
74,15103,2.1344496402936803,0.024074425920844078
75,6309,2.1301716594825435,0.025104593485593796
76,4738,2.1066658312133213,0.9610647559165955
77,17672,2.105812318931316,1.0037286281585693
78,9872,2.0763244157690437,0.024591635912656784
79,15063,2.070844786815701,0.8075123429298401
80,12590,2.064117970052864,1.019312858581543
81,679,2.0500733199806986,1.048377513885498
82,9579,2.0480725613640485,0.02133237197995186
83,4239,2.0355682017041823,0.026335252448916435
84,3128,2.0162341805443718,1.0561494827270508
85,10023,2.0093475332306383,0.7631384134292603
86,11959,1.9702122175665988,0.9860774874687195
87,199,1.9455974756861187,0.016286050900816917
88,16880,1.8835513515685345,0.8087531328201294
89,18772,1.87056346007155,1.0484808683395386
90,12184,1.8432288299943718,0.6490883827209473
91,14185,1.8334011951632152,0.7793571949005127
92,7818,1.8322130166644643,0.9645893573760986
93,1008,1.8232949036327473,0.027599114924669266
94,17733,1.8206829748240574,0.19255346059799194
95,14529,1.8025969237504176,0.5007011294364929
96,831,1.7972760393857985,0.7084664106369019
97,16642,1.7957614787525822,0.02385110594332218
98,13276,1.7939073765609415,0.020905042067170143
99,7997,1.7801725483943904,1.0142732858657837
100,4939,1.7741144097092338,0.7911065816879272
101,1906,1.7661766302432282,0.7822929620742798
102,1864,1.7545294096700939,0.017170581966638565
103,5022,1.750257504396655,0.9227012395858765
104,13873,1.7439058819406168,0.832184910774231
105,3689,1.738013609362918,0.8653430342674255
106,12693,1.7346705188029081,0.01921207457780838
107,1260,1.7313114327963044,0.018931284546852112
108,8520,1.7312474803517581,0.011928269639611244
109,6421,1.7073377164350108,0.7858856320381165
110,924,1.7064268314128486,0.9434286952018738
111,4714,1.7006806744237846,0.013214926235377789
112,16030,1.7002920584833,0.01173004787415266
113,10597,1.6980333738641895,0.9027999639511108
114,7668,1.696939282074248,0.7895453572273254
115,3361,1.6797761077815538,0.015091083012521267
116,14243,1.6793100036914,0.805472731590271
117,18631,1.65574857567932,0.01748373731970787
118,5271,1.639109772388342,0.3546312153339386
119,18183,1.6288640098076264,0.013538886792957783
120,12739,1.6280218120652048,0.5315351486206055
121,967,1.6153060060336464,0.3636113405227661
122,16274,1.6144758518718818,0.022720275446772575
123,17474,1.6134007992348076,0.6202484965324402
124,8755,1.6086329231218066,0.9427553415298462
125,11986,1.6002267761890392,0.03322497010231018
126,13926,1.594747310852593,0.015207899734377861
127,2505,1.5890597632853802,0.22644826769828796
128,3792,1.5847350749094626,0.22197359800338745
129,13496,1.566725528136726,0.6044005155563354
130,18480,1.564144645394434,0.1007026806473732
131,19859,1.5583064388083205,0.04390203207731247
132,15650,1.5495440381179815,0.302035927772522
133,11142,1.5410593273307585,0.009899183176457882
134,7080,1.5400780525297824,0.8686122894287109
135,12260,1.5342575066071407,0.45124074816703796
136,12251,1.524464070110169,0.7097231149673462
137,14133,1.5227369433791529,0.33225739002227783
138,2728,1.5144232784242004,0.023263845592737198
139,19148,1.5109990541233187,0.45689085125923157
140,270,1.50734314848017,0.5308037996292114
141,9671,1.5059941845911875,0.18218369781970978
142,3990,1.488974438396799,0.7265456318855286
143,833,1.4864738165596163,0.5057839155197144
144,5024,1.4859841718990812,0.9126152396202087
145,2822,1.4819980715635004,0.02775965817272663
146,3061,1.480234826812919,0.2733106315135956
147,9261,1.4574684541770861,0.6493005752563477
148,796,1.4538093032890094,0.042155537754297256
149,1929,1.4483980891699997,0.6960336565971375
150,9009,1.4417543378414865,0.33490854501724243
151,4592,1.4392336565936283,0.021290738135576248
152,7355,1.4371615499380819,0.011424537748098373
153,17100,1.4321734056753201,0.7669950723648071
154,18875,1.4249011283884245,6.85024356842041
155,5865,1.4229640744805758,0.7439827919006348
156,14902,1.419282866214454,0.571195125579834
157,10667,1.417976881993034,0.02896948531270027
158,7653,1.4164159376909493,0.5015079975128174
159,4037,1.4106333969559868,0.049609288573265076
160,17849,1.3996703763499325,0.6604255437850952
161,16519,1.3966956337933552,4.695423603057861
162,19697,1.3944656922407195,0.031593743711709976
163,4088,1.3846901887967111,0.04105048254132271
164,17221,1.3712125920505094,0.031655896455049515
165,18245,1.3665079487033933,0.06708700954914093
166,18532,1.3657837518854083,0.02809036709368229
167,2339,1.3351869679266053,0.02797871083021164
168,11068,1.3316183270067468,0.8453471660614014
169,13951,1.3305034792121813,4.468106269836426
170,10665,1.3197761968889508,0.041049666702747345
171,3130,1.3082138606504439,0.010072997771203518
172,6771,1.3071482284806042,0.6007891893386841
