gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.025118864315095794,0.06309573444801933,0.037976870132923536,0.002,0.00028555095195770264,7.365426640446665e-05,0.0007365426640446666,0.004108939756921292,0.017925370232162674,3.585074046432535e-05,20.544698784606457,2.0544698784606457
0.025118864315095794,0.1,0.0748811356849042,0.002,0.000561639666557312,0.00014479855049938118,0.001447985504993812,0.008093818650437212,0.017890016660005035,3.578003332001007e-05,40.46909325218606,4.046909325218606
0.025118864315095794,0.15848931924611143,0.13337045493101563,0.002,0.0009937360882759094,0.00025602134069114624,0.0025602134069114624,0.014355192916105923,0.01783475444651817,3.566950889303634e-05,71.77596458052962,7.177596458052961
0.025118864315095794,0.25118864315095807,0.22606977883586227,0.002,0.0016565248370170593,0.0004263759875859474,0.004263759875859474,0.02402100786926079,0.017750128966552328,3.550025793310466e-05,120.10503934630395,12.010503934630396
0.025118864315095794,0.3981071705534973,0.3729883062384015,0.002,0.002627544105052948,0.000675518013595163,0.0067551801359516305,0.03832421797171186,0.01762640046807429,3.525280093614858e-05,191.6210898585593,19.16210898585593
0.025118864315095794,0.6309573444801934,0.6058384801650976,0.002,0.003927409648895264,0.0010084709386716834,0.010084709386716835,0.057755254403051806,0.017461111531670365,3.492222306334073e-05,288.776272015259,28.8776272015259
0.025118864315095794,1.0,0.9748811356849042,0.002,0.005445212125778198,0.0013970811239042843,0.013970811239042842,0.08090455355942192,0.017268263187166233,3.4536526374332464e-05,404.52276779710957,40.452276779710964
0.039810717055349734,0.06309573444801933,0.023285017392669596,0.002,0.00017498433589935303,4.512599913070738e-05,0.00045125999130707383,0.002519430308835807,0.01791119165806951,3.582238331613902e-05,12.597151544179031,1.259715154417903
0.039810717055349734,0.1,0.06018928294465027,0.002,0.0004510730504989624,0.00011627028650007206,0.0011627028650007206,0.00650432645122837,0.017875838085911866,3.575167617182373e-05,32.52163225614185,3.252163225614185
0.039810717055349734,0.15848931924611143,0.11867860219076169,0.002,0.0008831694722175598,0.000227493085654078,0.0022749308565407802,0.012765753883750395,0.017820575872425002,3.564115174485e-05,63.82876941875197,6.382876941875197
0.039810717055349734,0.25118864315095807,0.21137792609560835,0.002,0.0015459582209587097,0.0003978477531274435,0.003978477531274435,0.022431713233512285,0.017735950392459163,3.547190078491833e-05,112.15856616756139,11.215856616756138
0.039810717055349734,0.3981071705534973,0.3582964534981476,0.002,0.0025169774889945984,0.0006469898189594421,0.00646989818959442,0.036735275245455945,0.017612221893981123,3.5224443787962244e-05,183.67637622727975,18.367637622727976
0.039810717055349734,0.6309573444801934,0.5911466274248436,0.002,0.003816843032836914,0.000979942804525437,0.00979942804525437,0.05616705279421896,0.017446932957577196,3.489386591515439e-05,280.8352639710948,28.08352639710948
0.039810717055349734,1.0,0.9601892829446502,0.002,0.005334645509719849,0.0013685530428904351,0.01368553042890435,0.07931762672900716,0.017254084613073064,3.4508169226146126e-05,396.5881336450358,39.65881336450358
0.06309573444801933,0.1,0.036904265551980675,0.002,0.0002760887145996094,7.114429039533558e-05,0.0007114429039533558,0.003984912884560854,0.017853411719733453,3.570682343946691e-05,19.924564422804266,1.9924564422804265
0.06309573444801933,0.15848931924611143,0.0953935847980921,0.002,0.0007081851363182068,0.00018236710038873548,0.0018236710038873546,0.010246407938349456,0.017798149506246586,3.5596299012493174e-05,51.232039691747275,5.123203969174728
0.06309573444801933,0.25118864315095807,0.18809290870293874,0.002,0.0013709738850593567,0.00035272179542967586,0.0035272179542967584,0.019912570469114932,0.017713524026280746,3.5427048052561494e-05,99.56285234557467,9.956285234557466
0.06309573444801933,0.3981071705534973,0.335011436105478,0.002,0.0023419931530952454,0.0006018639173277751,0.006018639173277751,0.03421665228435768,0.01758979552780271,3.517959105560542e-05,171.0832614217884,17.108326142178836
0.06309573444801933,0.6309573444801934,0.5678616100321741,0.002,0.003641858696937561,0.0009348169901836881,0.009348169901836881,0.0536495530177675,0.017424506591398783,3.484901318279757e-05,268.2477650888374,26.82477650888374
0.06309573444801933,1.0,0.9369042655519807,0.002,0.005159661173820496,0.001323427305012973,0.01323427305012973,0.07680208637212675,0.017231658246894647,3.44633164937893e-05,384.01043186063373,38.401043186063376
0.1,0.15848931924611143,0.05848931924611142,0.002,0.0004320964217185974,0.0001112228196841095,0.0011122281968410951,0.006261560403937283,0.017762795934088946,3.552559186817789e-05,31.307802019686417,3.1307802019686415
0.1,0.25118864315095807,0.15118864315095806,0.002,0.0010948851704597473,0.00028157754707675275,0.0028157754707675274,0.01592798009315947,0.017678170454123107,3.535634090824622e-05,79.63990046579734,7.963990046579734
