state_1,state_2,m_1,m_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
1,19,0.4,0.6,0.015848931924611134,0.3981071705534973,0.002,0.0033395886421203613,0.0008018377754851336,0.008018377754851336,0.04526517853535024,0.01771422982147152,3.5428459642943045e-05,226.32589267675112,22.63258926767511
1,20,0.4,0.6,0.015848931924611134,0.6309573444801934,0.002,0.004661384969949722,0.001136287411306208,0.01136287411306208,0.06475225410914939,0.017548229431377474,3.5096458862754946e-05,323.7612705457469,32.37612705457469
1,21,0.4,0.6,0.015848931924611134,1.0,0.002,0.006140604615211487,0.0015095165162727444,0.015095165162727445,0.0869378659145966,0.017363165064985815,3.472633012997163e-05,434.6893295729829,43.46893295729829
1,22,0.4,0.8,0.015848931924611134,0.01,0.002,0.0008625276386737823,0.00014320627129234292,0.0014320627129234293,0.007933594944759087,0.018050615425853653,3.610123085170731e-05,39.66797472379543,3.9667974723795427
1,23,0.4,0.8,0.015848931924611134,0.015848931924611134,0.002,0.0009065568447113037,0.00015335176303189787,0.0015335176303189785,0.008498312872465786,0.0180449655517805,3.6089931103561e-05,42.491564362328916,4.249156436232893
1,24,0.4,0.8,0.015848931924611134,0.025118864315095794,0.002,0.0009763389825820923,0.00016974586608714082,0.0016974586608714082,0.009411495943893622,0.01803601330745678,3.607202661491356e-05,47.0574797194681,4.70574797194681
1,25,0.4,0.8,0.015848931924611134,0.039810717055349734,0.002,0.001086905598640442,0.00019629504555777107,0.0019629504555777107,0.010892067786770479,0.018021834733363606,3.604366946672721e-05,54.46033893385239,5.4460338933852395
1,26,0.4,0.8,0.015848931924611134,0.06309573444801933,0.002,0.001261889934539795,0.00023922664761735847,0.0023922664761735846,0.013290806160801026,0.017999408367185193,3.5998816734370385e-05,66.45403080400513,6.645403080400512
1,27,0.4,0.8,0.015848931924611134,0.1,0.002,0.0015379786491394043,0.0003081945269511494,0.0030819452695114943,0.017156178294248894,0.01796405479502755,3.59281095900551e-05,85.78089147124447,8.578089147124446
1,28,0.4,0.8,0.015848931924611134,0.15848931924611143,0.002,0.0019700750708580017,0.00041749267546365435,0.004174926754636543,0.02331216208813434,0.01790879258154069,3.581758516308138e-05,116.56081044067167,11.656081044067168
1,29,0.4,0.8,0.015848931924611134,0.25118864315095807,0.002,0.0026328638195991516,0.0005863219755964355,0.005863219755964355,0.032894775517708835,0.017824167101574848,3.5648334203149694e-05,164.47387758854416,16.447387758854415
1,30,0.4,0.8,0.015848931924611134,0.3981071705534973,0.002,0.0036038830876350403,0.0008343728168595946,0.008343728168595946,0.04713853908194205,0.017700438603096807,3.5400877206193615e-05,235.69269540971024,23.569269540971025
1,31,0.4,0.8,0.015848931924611134,0.6309573444801934,0.002,0.004903748631477356,0.0011666158752211035,0.011666158752211036,0.06653013503711523,0.01753514966669288,3.5070299333385764e-05,332.6506751855762,33.265067518557615
1,32,0.4,0.8,0.015848931924611134,1.0,0.002,0.0064215511083602905,0.0015547886252137162,0.015547886252137162,0.08965295875838747,0.017342301322188752,3.4684602644377505e-05,448.2647937919372,44.82647937919372
1,33,0.4,1.0,0.015848931924611134,0.01,0.002,0.0012915804982185364,0.0002179439564677071,0.002179439564677071,0.012095788168257009,0.01801816908795226,3.603633817590452e-05,60.47894084128504,6.047894084128504
1,34,0.4,1.0,0.015848931924611134,0.015848931924611134,0.002,0.0013334937393665314,0.00022779732152085154,0.0022779732152085155,0.01264648374844701,0.018012700292982634,3.602540058596527e-05,63.23241874223503,6.323241874223504
1,35,0.4,1.0,0.015848931924611134,0.025118864315095794,0.002,0.001399945467710495,0.00024361465878739585,0.0024361465878739584,0.013531115607956272,0.018004033506605392,3.600806701321079e-05,67.65557803978133,6.765557803978133
1,36,0.4,1.0,0.015848931924611134,0.039810717055349734,0.002,0.0015052743256092072,0.0002690823237195661,0.002690823237195661,0.014957074949057613,0.01799030389538296,3.598060779076592e-05,74.78537474528807,7.478537474528807
1,37,0.4,1.0,0.015848931924611134,0.06309573444801933,0.002,0.0016721002757549286,0.00031014129022411774,0.0031014129022411776,0.017260203439338803,0.017968576750216944,3.5937153500433886e-05,86.30101719669402,8.630101719669401
1,38,0.4,1.0,0.015848931924611134,0.1,0.002,0.0019356794655323029,0.0003761571393581026,0.003761571393581026,0.020974185686262956,0.017934290512382885,3.586858102476577e-05,104.87092843131477,10.487092843131476
1,39,0.4,1.0,0.015848931924611134,0.15848931924611143,0.002,0.0023493096232414246,0.0004812643138317609,0.004812643138317609,0.026915478235270844,0.01788057821692716,3.5761156433854326e-05,134.57739117635418,13.457739117635418
1,40,0.4,1.0,0.015848931924611134,0.25118864315095807,0.002,0.0029871761798858643,0.0006449421407216142,0.006449421407216141,0.0362369212174149,0.017797928716186434,3.559585743237287e-05,181.18460608707449,18.118460608707448
