state,nearest_state,m,nearest_m,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
27,37,0.8,1.0,0.1,0.06309573444801933,0.0016580355043499895,8.290177521749946,0.8290177521749947
28,38,0.8,1.0,0.15848931924611143,0.1,0.003147291904776058,15.736459523880288,1.5736459523880288
29,18,0.8,0.6,0.25118864315095807,0.25118864315095807,0.002828528618150716,14.142643090753579,1.4142643090753577
30,19,0.8,0.6,0.3981071705534973,0.3981071705534973,0.002365200129232473,11.826000646162361,1.1826000646162362
31,20,0.8,0.6,0.6309573444801934,0.6309573444801934,0.0022382656823963327,11.191328411981665,1.1191328411981667
32,21,0.8,0.6,1.0,1.0,0.0029573917436402143,14.78695871820107,1.478695871820107
33,34,1.0,1.0,0.01,0.015848931924611134,0.0006134658491450597,3.0673292457252987,0.3067329245725299
34,33,1.0,1.0,0.015848931924611134,0.01,0.0006134658491450597,3.0673292457252987,0.3067329245725299
35,34,1.0,1.0,0.025118864315095794,0.015848931924611134,0.0009729991230805615,4.864995615402807,0.48649956154028084
36,35,1.0,1.0,0.039810717055349734,0.025118864315095794,0.0015433851091905993,7.716925545952996,0.7716925545952996
37,46,1.0,1.2,0.06309573444801933,0.025118864315095794,0.001619175512689226,8.09587756344613,0.8095877563446132
38,48,1.0,1.2,0.1,0.06309573444801933,0.0015651261364155785,7.825630682077891,0.7825630682077892
39,49,1.0,1.2,0.15848931924611143,0.1,0.002938862534940863,14.694312674704312,1.4694312674704313
40,29,1.0,0.8,0.25118864315095807,0.25118864315095807,0.003507714494367056,17.53857247183528,1.7538572471835279
41,30,1.0,0.8,0.3981071705534973,0.3981071705534973,0.003316660720450411,16.583303602252055,1.6583303602252055
42,31,1.0,0.8,0.6309573444801934,0.6309573444801934,0.003381932458671027,16.909662293355137,1.6909662293355137
43,32,1.0,0.8,1.0,1.0,0.0040786102340637205,20.3930511703186,2.0393051170318603
44,45,1.2,1.2,0.01,0.015848931924611134,0.0006059025490505128,3.029512745252564,0.3029512745252564
45,44,1.2,1.2,0.015848931924611134,0.01,0.0006059025490505128,3.029512745252564,0.3029512745252564
46,45,1.2,1.2,0.025118864315095794,0.015848931924611134,0.000961104571280455,4.805522856402274,0.48055228564022745
47,46,1.2,1.2,0.039810717055349734,0.025118864315095794,0.0015248198401940469,7.624099200970233,0.7624099200970234
48,38,1.2,1.0,0.06309573444801933,0.1,0.0015651261364155785,7.825630682077891,0.7825630682077892
49,39,1.2,1.0,0.1,0.15848931924611143,0.002938862534940863,14.694312674704312,1.4694312674704313
50,39,1.2,1.0,0.15848931924611143,0.15848931924611143,0.0038049777813133428,19.024888906566712,1.9024888906566713
51,40,1.2,1.0,0.25118864315095807,0.25118864315095807,0.0037194865015019547,18.59743250750977,1.8597432507509768
52,41,1.2,1.0,0.3981071705534973,0.3981071705534973,0.003681203189595295,18.406015947976474,1.8406015947976475
53,42,1.2,1.0,0.6309573444801934,0.6309573444801934,0.00386347951244717,19.31739756223585,1.9317397562235852
54,43,1.2,1.0,1.0,1.0,0.004540183710417352,22.700918552086762,2.2700918552086757
