state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,21,0.05,0.06875,0.01,0.0316227766,0.002,0.0006866211529648226,0.015353315728186245,0.04267747080572825,0.01604532152958406,3.2090643059168116e-05,21.396303953736407,478.43590107802123
0,22,0.05,0.06875,0.01,0.0421696503,0.002,0.0006729505049181881,0.01504763074489875,0.041845438813837156,0.016038551289841156,3.2077102579682316e-05,20.97915493603328,469.1081654747066
0,23,0.05,0.06875,0.01,0.0562341325,0.002,0.0006547447055676484,0.014640536695573468,0.040736292815957725,0.016029535112152556,3.205907022430511e-05,20.42307219101019,456.6737772848434
0,24,0.05,0.06875,0.01,0.0749894209,0.002,0.0006305271164903344,0.014099014941293163,0.0392589549549062,0.016017541680960957,3.203508336192191e-05,19.682393498616655,440.1116982280675
0,25,0.05,0.06875,0.01,0.1,0.002,0.0005983785326522612,0.013380150752870336,0.037294380100168036,0.016001620486594884,3.2003240973189765e-05,18.69743546141292,418.08736696634435
0,26,0.05,0.06875,0.01,0.133352143,0.002,0.0005558570216099866,0.012429340860904997,0.03468990473623406,0.01598056176646634,3.196112353293268e-05,17.391660873161502,388.8893595401247
0,27,0.05,0.06875,0.01,0.177827941,0.002,0.0004999742127904538,0.011179763267963994,0.031256573952892,0.015952884197947645,3.190576839589529e-05,15.67033918715388,350.3994365295487
0,28,0.05,0.06875,0.01,0.237137371,0.002,0.0004273353801158028,0.00955550959129647,0.02677592692679563,0.015916901666199093,3.183380333239819e-05,13.423949870322003,300.16864436589486
0,29,0.05,0.06875,0.01,0.316227766,0.002,0.000334635563553164,0.007482678677938257,0.021028323666467067,0.015870960469603353,3.17419209392067e-05,10.542385389783762,235.73490376557106
0,30,0.05,0.06875,0.01,0.421696503,0.002,0.0002197858385567777,0.0049145607550474925,0.01386107812033226,0.015813952864032227,3.1627905728064455e-05,6.949111346368871,155.38685353695882
0,31,0.05,0.06875,0.01,0.562341325,0.002,8.450250838992368e-05,0.0018895335302911564,0.005352258626111361,0.015746086728203518,3.149217345640704e-05,2.683286007772568,60.00009916453491
0,32,0.05,0.06875,0.01,0.749894209,0.002,7.699166666447882e-05,0.0017215860036277912,0.004900395715191288,0.015669510291696713,3.133902058339343e-05,2.456734933997164,54.934263151161176
0,33,0.05,0.06875,0.01,1.0,0.002,0.00023942359449852308,0.005353674327160423,0.015318681108888598,0.015588033976977611,3.117606795395522e-05,7.679723910408915,171.7238471210484
0,34,0.05,0.08750000000000001,0.01,0.01,0.002,0.0014293531225854656,0.03196130745952691,0.08684447471773823,0.016414152931173407,3.2828305862346814e-05,43.54026456859887,973.5899133371263
0,35,0.05,0.08750000000000001,0.01,0.0133352143,0.002,0.0014238437661311541,0.03183811450408573,0.08652414288214405,0.01641142345869831,3.282284691739662e-05,43.379654717778145,969.9985678942139
0,36,0.05,0.08750000000000001,0.01,0.0177827941,0.002,0.0014164975050933262,0.031673847113475324,0.08609684136934473,0.016407783913779915,3.281556782755983e-05,43.16541199398947,965.2079549534523
0,37,0.05,0.08750000000000001,0.01,0.0237137371,0.002,0.0014067027490466794,0.03145482971004203,0.08552682557374039,0.016402931388428223,3.2805862776856444e-05,42.87961449497576,958.8173285975113
0,38,0.05,0.08750000000000001,0.01,0.0316227766,0.002,0.0013936460645562216,0.03116287336922772,0.08476645300185114,0.01639646287155703,3.279292574311406e-05,42.498375273784866,950.292560454792
0,39,0.05,0.08750000000000001,0.01,0.0421696503,0.002,0.0013762466896279817,0.03077381151817222,0.08375224380008531,0.016387843053107903,3.2775686106215804e-05,41.98986667031147,938.921962409692
0,40,0.05,0.08750000000000001,0.01,0.0562341325,0.002,0.0013530751939864847,0.030255681124224942,0.08239991733683436,0.016376363832352567,3.275272766470514e-05,41.311832340748225,923.7606538898727
0,41,0.05,0.08750000000000001,0.01,0.0749894209,0.002,0.0013222514524316776,0.02956644130985061,0.08059804740606097,0.016361093997677646,3.272218799535529e-05,40.40840583824538,903.5594231671605
0,42,0.05,0.08750000000000001,0.01,0.1,0.002,0.0012813323324871227,0.028651461972095688,0.07820081923285432,0.016340823423360688,3.2681646846721376e-05,39.20647997013853,876.6835437171369
0,43,0.05,0.08750000000000001,0.01,0.133352143,0.002,0.001227208277857389,0.02744121131839572,0.07502082154634072,0.01631401199156038,3.262802398312076e-05,37.61209316544124,841.0319709398185
