state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
15,32,0.09500000000000001,0.14,0.01,0.1,0.002,0.005611751228570938,0.0015166557327207317,0.015166557327207317,0.08174911540936251,0.018552564454379812,3.710512890875963e-05,408.74557704681246,40.87455770468125
15,33,0.09500000000000001,0.14,0.01,0.31622776601683794,0.002,0.003458283841609955,0.0009637390469579344,0.009637390469579345,0.05272840820360913,0.01827741590901978,3.655483181803956e-05,263.64204101804563,26.36420410180456
15,34,0.09500000000000001,0.14,0.01,1.0,0.002,0.0012252479791641235,0.0002449701395637641,0.0024497013956376406,0.013854525592118624,0.017681597102330186,3.5363194204660376e-05,69.27262796059311,6.927262796059312
15,35,0.09500000000000001,0.15500000000000003,0.01,0.01,0.002,0.008743185549974442,0.002347162327721644,0.023471623277216438,0.1237532324693699,0.01896647288225452,3.793294576450904e-05,618.7661623468495,61.87661623468495
15,36,0.09500000000000001,0.15500000000000003,0.01,0.03162277660168379,0.002,0.008490893989801407,0.002282074386286691,0.022820743862866907,0.12052734982424992,0.018934079191273656,3.7868158382547316e-05,602.6367491212495,60.26367491212495
15,37,0.09500000000000001,0.15500000000000003,0.01,0.1,0.002,0.007696229964494705,0.0020773299952049295,0.020773299952049296,0.1103074307236757,0.0188321854799494,3.76643709598988e-05,551.5371536183784,55.15371536183783
15,38,0.09500000000000001,0.15500000000000003,0.01,0.31622776601683794,0.002,0.005312029272317886,0.0014650745918579047,0.014650745918579048,0.07907570823236897,0.0185274925082263,3.70549850164526e-05,395.3785411618448,39.537854116184484
15,39,0.09500000000000001,0.15500000000000003,0.01,1.0,0.002,0.00027865171432495117,0.00015632105932192984,0.0015632105932192985,0.008748800931169745,0.017867712450171064,3.573542490034213e-05,43.74400465584873,4.3744004655848725
15,40,0.09500000000000001,0.17000000000000004,0.01,0.01,0.002,0.010928977280855179,0.0029339527144529053,0.029339527144529056,0.15234065326962348,0.019259158021727694,3.851831604345539e-05,761.7032663481172,76.17032663481172
15,41,0.09500000000000001,0.17000000000000004,0.01,0.03162277660168379,0.002,0.010652270168066025,0.002862565729935304,0.028625657299353038,0.14890875818644983,0.019223622336243397,3.844724467248679e-05,744.5437909322492,74.45437909322493
15,42,0.09500000000000001,0.17000000000000004,0.01,0.1,0.002,0.009780708700418472,0.002638005386348044,0.02638005386348044,0.13802985876929627,0.019111845870662073,3.8223691741324143e-05,690.1492938464814,69.01492938464814
15,43,0.09500000000000001,0.17000000000000004,0.01,0.31622776601683794,0.002,0.007165785878896713,0.0019664476411923176,0.019664476411923176,0.10472304892181844,0.018777601124470508,3.755520224894102e-05,523.6152446090921,52.36152446090921
15,44,0.09500000000000001,0.17000000000000004,0.01,1.0,0.002,0.001478634774684906,0.0005168554079829918,0.0051685540798299175,0.028628552151181787,0.018053843772943154,3.610768754588631e-05,143.14276075590894,14.314276075590897
15,45,0.09500000000000001,0.18500000000000005,0.01,0.01,0.002,0.013114776462316513,0.0035207435084310397,0.0352074350843104,0.18007184335928803,0.01955188241954231,3.910376483908462e-05,900.3592167964401,90.035921679644
15,46,0.09500000000000001,0.18500000000000005,0.01,0.03162277660168379,0.002,0.01281365379691124,0.0034430573868903737,0.03443057386890374,0.17644756799653136,0.019513203984529034,3.902640796905807e-05,882.237839982657,88.22378399826569
15,47,0.09500000000000001,0.18500000000000005,0.01,0.1,0.002,0.01186518743634224,0.0031986812763892263,0.031986812763892265,0.16495239026054062,0.019391542440439585,3.878308488087917e-05,824.761951302703,82.4761951302703
15,48,0.09500000000000001,0.18500000000000005,0.01,0.31622776601683794,0.002,0.009019535034894943,0.0024678348890610035,0.024678348890610033,0.12969669602742687,0.019027739060824896,3.805547812164979e-05,648.4834801371344,64.84834801371345
15,49,0.09500000000000001,0.18500000000000005,0.01,1.0,0.002,0.0028305761516094208,0.0008877611841256022,0.008877611841256022,0.04867114421401272,0.018239990007672978,3.6479980015345955e-05,243.35572107006354,24.335572107006353
15,50,0.09500000000000001,0.2,0.01,0.01,0.002,0.01530056819319725,0.00410753396004652,0.041075339600465194,0.20698452704802298,0.01984464258574034,3.968928517148068e-05,1034.9226352401147,103.49226352401148
15,51,0.09500000000000001,0.2,0.01,0.03162277660168379,0.002,0.014975037425756454,0.004023549125854543,0.04023549125854543,0.20318060393706713,0.019802820977443257,3.960564195488652e-05,1015.9030196853356,101.59030196853357
15,52,0.09500000000000001,0.2,0.01,0.1,0.002,0.013949666172266006,0.003759357288921026,0.03759357288921026,0.1911090056818519,0.019671272295662533,3.934254459132507e-05,955.5450284092592,95.55450284092592
15,53,0.09500000000000001,0.2,0.01,0.31622776601683794,0.002,0.010873284190893173,0.0029692293402118434,0.029692293402118434,0.15402241264414251,0.019277904359750745,3.855580871950149e-05,770.1120632207127,77.01120632207126
15,54,0.09500000000000001,0.2,0.01,1.0,0.002,0.004182521253824234,0.0012599117691379155,0.012599117691379155,0.06837628830573825,0.018426150356455978,3.6852300712911954e-05,341.88144152869125,34.18814415286913
16,17,0.09500000000000001,0.09500000000000001,0.03162277660168379,0.1,0.002,0.0004870481789112091,0.00012555746232180786,0.0012555746232180787,0.007095991247693926,0.017694139964252613,3.538827992850523e-05,35.47995623846963,3.5479956238469628
16,18,0.09500000000000001,0.09500000000000001,0.03162277660168379,0.31622776601683794,0.002,0.0019483305513858795,0.0005011657219623844,0.005011657219623844,0.028625659463290223,0.017507569479930526,3.5015138959861056e-05,143.12829731645112,14.312829731645111
16,19,0.09500000000000001,0.09500000000000001,0.03162277660168379,1.0,0.002,0.005126442760229111,0.0013152260776068637,0.013152260776068637,0.07689796575996292,0.01710352237031007,3.4207044740620144e-05,384.4898287998146,38.44898287998146
16,20,0.09500000000000001,0.11000000000000001,0.03162277660168379,0.01,0.002,0.0023404285311698914,0.0006266850218582018,0.006266850218582018,0.0346831636452123,0.01806885404886385,3.61377080977277e-05,173.4158182260615,17.341581822606148
16,21,0.09500000000000001,0.11000000000000001,0.03162277660168379,0.03162277660168379,0.002,0.002161383628845215,0.0005804918183505641,0.005804918183505641,0.03216755192868394,0.018045881130075596,3.609176226015119e-05,160.83775964341964,16.083775964341964
16,22,0.09500000000000001,0.11000000000000001,0.03162277660168379,0.1,0.002,0.001597430557012558,0.00043520330164356646,0.004352033016435664,0.02421344723194712,0.017973620091126928,3.594724018225386e-05,121.06723615973559,12.106723615973559
16,23,0.09500000000000001,0.11000000000000001,0.03162277660168379,0.31622776601683794,0.002,9.458139538764954e-05,1.8822012240769583e-05,0.0001882201224076958,0.0010599451697236146,0.017757533859678327,3.5515067719356654e-05,5.299725848618074,0.5299725848618074
16,24,0.09500000000000001,0.11000000000000001,0.03162277660168379,1.0,0.002,0.003774501383304596,0.0009429486641589814,0.009429486641589813,0.0545385416197471,0.01728958340568392,3.457916681136784e-05,272.6927080987355,27.26927080987355
16,25,0.09500000000000001,0.125,0.03162277660168379,0.01,0.002,0.004526220262050629,0.0012134748350143716,0.012134748350143717,0.06608836422045987,0.018361399155930387,3.6722798311860775e-05,330.4418211022993,33.044182110229926
16,26,0.09500000000000001,0.125,0.03162277660168379,0.03162277660168379,0.002,0.00432276725769043,0.0011609835557981143,0.011609835557981143,0.06331962805997875,0.018335287040827004,3.6670574081654006e-05,316.59814029989377,31.659814029989377
16,27,0.09500000000000001,0.125,0.03162277660168379,0.1,0.002,0.0036819055676460266,0.0009958694219591674,0.009958694219591674,0.05455876617897118,0.01825315144943673,3.650630289887346e-05,272.79383089485583,27.279383089485588
16,28,0.09500000000000001,0.125,0.03162277660168379,0.31622776601683794,0.002,0.0017591677606105804,0.0005023567723682431,0.0050235677236824304,0.02789702565540561,0.01800753881698859,3.601507763397718e-05,139.48512827702802,13.948512827702803
16,29,0.09500000000000001,0.125,0.03162277660168379,1.0,0.002,0.002422560006380081,0.0005716307886947646,0.005716307886947647,0.03271010438993459,0.017475663846265935,3.4951327692531874e-05,163.55052194967297,16.355052194967296
16,30,0.09500000000000001,0.14,0.03162277660168379,0.01,0.002,0.006712019443511963,0.0018002652184151095,0.018002652184151095,0.09650829159933358,0.018653995305285675,3.730799061057135e-05,482.5414579966679,48.25414579966679
16,31,0.09500000000000001,0.14,0.03162277660168379,0.03162277660168379,0.002,0.006484143435955048,0.001741475168094442,0.01741475168094442,0.09350331338995195,0.01862474285624176,3.724948571248352e-05,467.51656694975975,46.75165669497597
16,32,0.09500000000000001,0.14,0.03162277660168379,0.1,0.002,0.005766384303569794,0.0015565432476860514,0.015565432476860515,0.0839888822464106,0.01853272964294715,3.70654592858943e-05,419.944411232053,41.9944411232053
16,33,0.09500000000000001,0.14,0.03162277660168379,0.31622776601683794,0.002,0.0036129169166088104,0.0010035891778177248,0.010035891778177248,0.05496835382811783,0.01825758109758712,3.651516219517424e-05,274.8417691405892,27.484176914058917
16,34,0.09500000000000001,0.14,0.03162277660168379,1.0,0.002,0.001070614904165268,0.00020651606702231306,0.002065160670223131,0.011692834702500033,0.017661762290897526,3.532352458179505e-05,58.46417351250017,5.846417351250016
16,35,0.09500000000000001,0.15500000000000003,0.03162277660168379,0.01,0.002,0.008897818624973297,0.0023870559164012096,0.0238705591640121,0.12598836307942757,0.018946638070821864,3.789327614164373e-05,629.9418153971378,62.99418153971377
16,36,0.09500000000000001,0.15500000000000003,0.03162277660168379,0.03162277660168379,0.002,0.008645527064800262,0.002321966955118301,0.02321966955118301,0.12276287164784011,0.018914244379840996,3.782848875968199e-05,613.8143582392005,61.38143582392004
16,37,0.09500000000000001,0.15500000000000003,0.03162277660168379,0.1,0.002,0.00785086303949356,0.00211721862103998,0.0211721862103998,0.11254407587581462,0.01881235066851674,3.762470133703348e-05,562.720379379073,56.27203793790731
16,38,0.09500000000000001,0.15500000000000003,0.03162277660168379,0.31622776601683794,0.002,0.005466662347316742,0.0015049386500876989,0.015049386500876987,0.08131437671599154,0.018507657696793644,3.701531539358729e-05,406.5718835799577,40.65718835799577
16,39,0.09500000000000001,0.15500000000000003,0.03162277660168379,1.0,0.002,0.00036659836769104004,0.0001918679735846248,0.001918679735846248,0.010750184277831431,0.017847877638738407,3.5695755277476814e-05,53.750921389157156,5.375092138915716
16,40,0.09500000000000001,0.17000000000000004,0.03162277660168379,0.01,0.002,0.011083610355854034,0.0029738462434755254,0.029738462434755253,0.15457125029659094,0.019239323210295034,3.847864642059007e-05,772.8562514829547,77.28562514829547
16,41,0.09500000000000001,0.17000000000000004,0.03162277660168379,0.03162277660168379,0.002,0.01080690324306488,0.0029024583641212203,0.0290245836412122,0.15113989156416816,0.019203787524810736,3.840757504962147e-05,755.6994578208408,75.56994578208409
16,42,0.09500000000000001,0.17000000000000004,0.03162277660168379,0.1,0.002,0.009935341775417328,0.00267789464196506,0.026778946419650604,0.14026257546454327,0.019092011059229416,3.818402211845883e-05,701.3128773227163,70.13128773227163
16,43,0.09500000000000001,0.17000000000000004,0.03162277660168379,0.31622776601683794,0.002,0.007320418953895569,0.002006317930214316,0.020063179302143158,0.10695932003480586,0.018757766313037848,3.751553262607569e-05,534.7966001740294,53.47966001740294
16,44,0.09500000000000001,0.17000000000000004,0.03162277660168379,1.0,0.002,0.0016332678496837616,0.0005561070896754505,0.005561070896754504,0.030836576096991794,0.018034008961510497,3.606801792302099e-05,154.182880484959,15.4182880484959
16,45,0.09500000000000001,0.18500000000000005,0.03162277660168379,0.01,0.002,0.013269409537315369,0.003560636997519907,0.035606369975199066,0.1822971697059319,0.01953204760810965,3.90640952162193e-05,911.4858485296596,91.14858485296597
16,46,0.09500000000000001,0.18500000000000005,0.03162277660168379,0.03162277660168379,0.002,0.012968286871910095,0.0034829500645572765,0.03482950064557276,0.17867358041750128,0.019493369173096377,3.8986738346192755e-05,893.3679020875064,89.33679020875066
16,47,0.09500000000000001,0.18500000000000005,0.03162277660168379,0.1,0.002,0.012019820511341095,0.0032385709375381115,0.032385709375381114,0.16718045716778834,0.019371707629006925,3.874341525801385e-05,835.9022858389418,83.59022858389417
16,48,0.09500000000000001,0.18500000000000005,0.03162277660168379,0.31622776601683794,0.002,0.009174168109893799,0.00250770868709312,0.025077086870931197,0.13192978322022542,0.019007904249392235,3.801580849878447e-05,659.6489161011273,65.96489161011273
16,49,0.09500000000000001,0.18500000000000005,0.03162277660168379,1.0,0.002,0.0029852092266082764,0.0009273478480893042,0.00927347848089304,0.05089681389106169,0.018220155196240317,3.6440310392480636e-05,254.48406945530846,25.44840694553085
16,50,0.09500000000000001,0.2,0.03162277660168379,0.01,0.002,0.015455201268196106,0.004147427420400652,0.04147427420400652,0.2092039160034422,0.01982480777430768,3.964961554861536e-05,1046.019580017211,104.6019580017211
16,51,0.09500000000000001,0.2,0.03162277660168379,0.03162277660168379,0.002,0.01512967050075531,0.004063441834522655,0.04063441834522655,0.20540083283807306,0.019782986166010597,3.956597233202119e-05,1027.0041641903654,102.70041641903656
16,52,0.09500000000000001,0.2,0.03162277660168379,0.1,0.002,0.014104299247264862,0.003799247233006764,0.03799247233006764,0.193331772093295,0.019651437484229872,3.930287496845974e-05,966.658860466475,96.6658860466475
16,53,0.09500000000000001,0.2,0.03162277660168379,0.31622776601683794,0.002,0.011027917265892029,0.0030091053830770273,0.030091053830770275,0.15625166247983716,0.019258069548318088,3.8516139096636175e-05,781.2583123991857,78.12583123991857
16,54,0.09500000000000001,0.2,0.03162277660168379,1.0,0.002,0.00433715432882309,0.0012996039060831457,0.012996039060831455,0.07060641239710416,0.018406315545023318,3.6812631090046635e-05,353.03206198552084,35.30320619855209
17,18,0.09500000000000001,0.09500000000000001,0.1,0.31622776601683794,0.002,0.0014612823724746704,0.00037560841172641396,0.0037560841172641396,0.02153078523728191,0.017445179429685844,3.489035885937169e-05,107.65392618640954,10.765392618640954
17,19,0.09500000000000001,0.09500000000000001,0.1,1.0,0.002,0.004639394581317902,0.0011896692762825914,0.011896692762825914,0.06981163304986453,0.017041132320065388,3.4082264640130776e-05,349.05816524932266,34.90581652493226
17,20,0.09500000000000001,0.11000000000000001,0.1,0.01,0.002,0.0028274767100811005,0.0007521988508074895,0.007521988508074895,0.041773823603855384,0.018006463998619167,3.601292799723833e-05,208.86911801927693,20.886911801927692
17,21,0.09500000000000001,0.11000000000000001,0.1,0.03162277660168379,0.002,0.002648431807756424,0.0007059992705353921,0.00705999270535392,0.039258187823564134,0.01798349107983091,3.596698215966182e-05,196.29093911782067,19.629093911782068
17,22,0.09500000000000001,0.11000000000000001,0.1,0.1,0.002,0.002084478735923767,0.0005606767566582637,0.005606767566582636,0.03130308501306294,0.017911230040882242,3.5822460081764485e-05,156.5154250653147,15.651542506531472
17,23,0.09500000000000001,0.11000000000000001,0.1,0.31622776601683794,0.002,0.00039246678352355957,0.000126875200877466,0.00126875200877466,0.007170057629586837,0.01769514380943364,3.5390287618867286e-05,35.850288147934194,3.5850288147934193
17,24,0.09500000000000001,0.11000000000000001,0.1,1.0,0.002,0.003287453204393387,0.0008174331328805233,0.008174331328805233,0.04745016300768637,0.01722719335543924,3.445438671087848e-05,237.2508150384318,23.72508150384318
17,25,0.09500000000000001,0.125,0.1,0.01,0.002,0.005013268440961838,0.0013389817378618228,0.013389817378618229,0.07317236305684915,0.0182990091056857,3.65980182113714e-05,365.86181528424584,36.58618152842458
17,26,0.09500000000000001,0.125,0.1,0.03162277660168379,0.002,0.004809815436601639,0.0012864861284695682,0.012864861284695684,0.070404059582485,0.01827289699058232,3.6545793981164645e-05,352.0202979124249,35.20202979124249
17,27,0.09500000000000001,0.125,0.1,0.1,0.002,0.004168953746557236,0.0011213534642591648,0.011213534642591649,0.06164411921256746,0.018190761399192047,3.6381522798384095e-05,308.2205960628373,30.822059606283723
17,28,0.09500000000000001,0.125,0.1,0.31622776601683794,0.002,0.0022462159395217896,0.000627641477399279,0.006276414773992791,0.034975551641144895,0.017945148766743906,3.5890297533487814e-05,174.87775820572446,17.487775820572445
17,29,0.09500000000000001,0.125,0.1,1.0,0.002,0.001935511827468872,0.00044649517595596127,0.004464951759559613,0.025641081693551542,0.017413273796021252,3.4826547592042506e-05,128.2054084677577,12.820540846775769
17,30,0.09500000000000001,0.14,0.1,0.01,0.002,0.007199067622423172,0.0019257693930204247,0.019257693930204246,0.10358273890837182,0.018591605255040992,3.718321051008199e-05,517.9136945418591,51.79136945418591
17,31,0.09500000000000001,0.14,0.1,0.03162277660168379,0.002,0.006971191614866257,0.001866975894871686,0.01866975894871686,0.1005786235389572,0.01856235280599708,3.712470561199416e-05,502.893117694786,50.289311769478594
17,32,0.09500000000000001,0.14,0.1,0.1,0.002,0.006253432482481003,0.0016820302502776824,0.016820302502776826,0.09106655791765972,0.018470339592702466,3.6940679185404934e-05,455.33278958829857,45.533278958829854
17,33,0.09500000000000001,0.14,0.1,0.31622776601683794,0.002,0.0040999650955200195,0.0011289779379594043,0.011289779379594043,0.062048149701857694,0.01819519104734244,3.639038209468488e-05,310.2407485092884,31.02407485092884
17,34,0.09500000000000001,0.14,0.1,1.0,0.002,0.0005835667252540588,9.37895514271613e-05,0.000937895514271613,0.005329141866237509,0.01759937224065284,3.519874448130568e-05,26.645709331187547,2.664570933118755
17,35,0.09500000000000001,0.15500000000000003,0.1,0.01,0.002,0.009384866803884506,0.002512558632505217,0.02512558632505217,0.13305049953630207,0.018884248020577178,3.7768496041154354e-05,665.2524976815104,66.52524976815103
17,36,0.09500000000000001,0.15500000000000003,0.1,0.03162277660168379,0.002,0.009132575243711472,0.002447466712113322,0.024474667121133217,0.12982631147700635,0.01885185432959631,3.770370865919262e-05,649.1315573850318,64.91315573850319
17,37,0.09500000000000001,0.15500000000000003,0.1,0.1,0.002,0.00833791121840477,0.002242707016340052,0.022427070163400523,0.11961129209810223,0.018749960618272055,3.749992123654411e-05,598.0564604905112,59.80564604905111
17,38,0.09500000000000001,0.15500000000000003,0.1,0.31622776601683794,0.002,0.005953710526227951,0.0016303584507234995,0.016303584507234993,0.08838898312373002,0.01844526764654896,3.689053529309792e-05,441.9449156186501,44.194491561865014
17,39,0.09500000000000001,0.15500000000000003,0.1,1.0,0.002,0.0007683746516704559,0.0003106642889385102,0.003106642889385102,0.017467291092963556,0.01778548758849372,3.557097517698745e-05,87.33645546481776,8.733645546481776
17,40,0.09500000000000001,0.17000000000000004,0.1,0.01,0.002,0.011570658534765244,0.003099348051484807,0.03099348051484807,0.1616185458653739,0.019176933160050348,3.8353866320100696e-05,808.0927293268696,80.80927293268695
17,41,0.09500000000000001,0.17000000000000004,0.1,0.03162277660168379,0.002,0.01129395142197609,0.0030279575225719895,0.030279575225719894,0.1581889476249244,0.019141397474566054,3.8282794949132106e-05,790.944738124622,79.0944738124622
17,42,0.09500000000000001,0.17000000000000004,0.1,0.1,0.002,0.010422389954328537,0.0028033838465854,0.028033838465854,0.14731685120065174,0.019029621008984733,3.805924201796947e-05,736.5842560032586,73.65842560032586
17,43,0.09500000000000001,0.17000000000000004,0.1,0.31622776601683794,0.002,0.007807467132806778,0.0021317524438885563,0.02131752443888556,0.1140256507236546,0.018695376262793162,3.7390752525586326e-05,570.128253618273,57.0128253618273
