state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
11,10,0.08750000000000001,0.08750000000000001,0.0316227766,0.01,3.572257126601451e-05,0.0007987809768188916,0.002082544494712135,0.01710623644468697,3.4212472889373944e-05,1.0441388256710782,23.34765392147333
12,11,0.08750000000000001,0.08750000000000001,0.1,0.0316227766,0.00011237054321496415,0.002512681732972376,0.0065791822549486605,0.017032906936874252,3.4065813873748506e-05,3.298630810096633,73.75962724051271
13,24,0.08750000000000001,0.125,0.316227766,1.0,0.00018684047466077734,0.004177880022898251,0.011133164302797849,0.016736952226306525,3.3473904452613054e-05,5.5816755683603,124.81005999203406
14,8,0.08750000000000001,0.06875,1.0,0.316227766,0.0001200581429035096,0.0026845816878463143,0.007492562416778454,0.01598086185895447,3.196172371790894e-05,3.7563100151647353,83.99364538471613
15,23,0.10625000000000001,0.125,0.01,0.316227766,3.158633948132392e-05,0.0007062920224062574,0.001764982803424948,0.01784647733741488,3.569295467482976e-05,0.8849460564159521,19.78799538566433
16,15,0.10625000000000001,0.10625000000000001,0.0316227766,0.01,4.337750045360367e-05,0.0009699503970828577,0.0024284633956919966,0.017812490104392606,3.562498020878521e-05,1.2176147242576338,27.226692938447318
17,34,0.10625000000000001,0.16250000000000003,0.1,1.0,9.986805330285882e-05,0.0022331175596576472,0.005628257362113163,0.01769526506876519,3.539053013753038e-05,2.821886332721316,63.09929664742452
18,29,0.10625000000000001,0.14375000000000002,0.316227766,1.0,5.3431478102913336e-05,0.0011947641717640573,0.0030860144127037767,0.0172668544253419,3.45337088506838e-05,1.5472267497806087,34.59704189115499
19,6,0.10625000000000001,0.06875,1.0,0.0316227766,4.900746478112958e-05,0.001095840226555326,0.0029835793000158417,0.01638149888703533,3.276299777407066e-05,1.4958174804112443,33.44749568132003
20,21,0.125,0.125,0.01,0.0316227766,5.103226812155328e-05,0.0011411162056578865,0.0027479451466631342,0.01851889889522009,3.703779779044018e-05,1.3778429379169301,30.809504715002785
21,28,0.125,0.14375000000000002,0.0316227766,0.316227766,3.7315899785913134e-05,0.0008344088856287162,0.002013607043015187,0.018479976713159575,3.695995342631915e-05,1.0096305954579616,22.576026436075928
22,28,0.125,0.14375000000000002,0.1,0.316227766,0.0001323485270103727,0.0029594030311716037,0.007172575558589416,0.01840044345015844,3.680088690031688e-05,3.596340690616157,80.41662254466267
23,15,0.125,0.10625000000000001,0.316227766,0.01,3.158633948132392e-05,0.0007062920224062574,0.001764982803424948,0.01784647733741488,3.569295467482976e-05,0.8849460564159521,19.78799538566433
24,12,0.125,0.08750000000000001,1.0,0.1,0.00016220529235459852,0.0036270206001510923,0.00957000664011157,0.01690330356445783,3.380660712891566e-05,4.798035240154584,107.2873295542518
25,26,0.14375000000000002,0.14375000000000002,0.01,0.0316227766,5.8687241394733727e-05,0.0013122866117056418,0.0030439200584176686,0.01922544583920176,3.8450891678403524e-05,1.5262907785229913,34.12889934208485
26,25,0.14375000000000002,0.14375000000000002,0.0316227766,0.01,5.8687241394733727e-05,0.0013122866117056418,0.0030439200584176686,0.01922544583920176,3.8450891678403524e-05,1.5262907785229913,34.12889934208485
27,33,0.14375000000000002,0.16250000000000003,0.1,0.316227766,6.255592192829168e-05,0.0013987929382682993,0.0032756147175207894,0.019043591285049344,3.808718257009869e-05,1.642440256985635,36.72608063602103
28,21,0.14375000000000002,0.125,0.316227766,0.0316227766,3.7315899785913134e-05,0.0008344088856287162,0.002013607043015187,0.018479976713159575,3.695995342631915e-05,1.0096305954579616,22.576026436075928
29,18,0.14375000000000002,0.10625000000000001,1.0,0.316227766,5.3431478102913336e-05,0.0011947641717640573,0.0030860144127037767,0.0172668544253419,3.45337088506838e-05,1.5472267497806087,34.59704189115499
30,31,0.16250000000000003,0.16250000000000003,0.01,0.0316227766,6.634200019455719e-05,0.0014834522219833416,0.0033188649338799932,0.019932116177827766,3.986423235565553e-05,1.6641986129991353,37.21261226726932
31,30,0.16250000000000003,0.16250000000000003,0.0316227766,0.01,6.634200019455719e-05,0.0014834522219833416,0.0033188649338799932,0.019932116177827766,3.986423235565553e-05,1.6641986129991353,37.21261226726932
32,38,0.16250000000000003,0.18125000000000002,0.1,0.316227766,2.614800164177229e-05,0.0005846870914677895,0.0013244189480986625,0.01968683844251915,3.9373676885038306e-05,0.6640985478221448,14.849694966892109
33,27,0.16250000000000003,0.14375000000000002,0.316227766,0.1,6.255592192829168e-05,0.0013987929382682993,0.0032756147175207894,0.019043591285049344,3.808718257009869e-05,1.642440256985635,36.72608063602103
34,16,0.16250000000000003,0.10625000000000001,1.0,0.0316227766,9.554174964911054e-05,0.0021363784690467784,0.005363929878053042,0.01776284887275016,3.5525697745500324e-05,2.6893701098724185,60.13614382330806
35,36,0.18125000000000002,0.18125000000000002,0.01,0.0316227766,7.399696770045409e-05,0.0016546224990707165,0.003574959157612077,0.020638897276451594,4.1277794552903186e-05,1.7926579775384262,40.085050981832126
36,35,0.18125000000000002,0.18125000000000002,0.0316227766,0.01,7.399696770045409e-05,0.0016546224990707165,0.003574959157612077,0.020638897276451594,4.1277794552903186e-05,1.7926579775384262,40.085050981832126
37,43,0.18125000000000002,0.2,0.1,0.316227766,8.84734368715957e-05,0.0019783261904792434,0.004339352102591596,0.02033017534062513,4.066035068125026e-05,2.1759142601884522,48.65492198992545
38,32,0.18125000000000002,0.16250000000000003,0.316227766,0.1,2.614800164177229e-05,0.0005846870914677895,0.0013244189480986625,0.01968683844251915,3.9373676885038306e-05,0.6640985478221448,14.849694966892109
39,22,0.18125000000000002,0.125,1.0,0.1,0.00017191429553896828,0.003844120511291219,0.009388194689350498,0.01826099181413933,3.652198362827866e-05,4.707145627376507,105.25497602804765
40,41,0.2,0.2,0.01,0.0316227766,8.165168528103219e-05,0.00182578718765807,0.0038140530343787975,0.021345777970257145,4.269155594051429e-05,1.9125956757070253,42.76693944353052
41,40,0.2,0.2,0.0316227766,0.01,8.165168528103219e-05,0.00182578718765807,0.0038140530343787975,0.021345777970257145,4.269155594051429e-05,1.9125956757070253,42.76693944353052
42,41,0.2,0.2,0.1,0.0316227766,0.0002568467459719755,0.005743267837929576,0.012092829601678564,0.021177913101834245,4.235582620366849e-05,6.064023984254844,135.59569845982946
43,37,0.2,0.18125000000000002,0.316227766,0.1,8.84734368715957e-05,0.0019783261904792434,0.004339352102591596,0.02033017534062513,4.066035068125026e-05,2.1759142601884522,48.65492198992545
44,20,0.2,0.125,1.0,0.01,0.0001265089172586138,0.0028288253875015674,0.006785451734139337,0.01859220315965286,3.718440631930572e-05,3.4022034982156435,76.07558295297763
